---------------------------------------------------------------------------------------------------------------
| 19  5  |  3  9  |  6  1  | 10 16  |  2 12  |  8 20  | 13  7  | 14 18  | 15 17  | 11  4  |
| 11  4  | 16  8  | 10  3  | 20 18  | 17 13  |  2  6  |  5  9  | 19 15  | 12  1  | 14  7  |
| 20  7  | 19  1  |  9  8  |  3  2  | 18 10  | 11 13  | 16 14  |  6 12  |  5  4  | 15 17  |
| 10  3  |  5 11  |  4 20  |  7  1  | 16 14  | 19  9  |  8 15  |  2 17  | 18 13  | 12  6  |
|  2  8  | 15 10  |  5 11  |  4 14  |  1  3  | 17 16  | 20 12  |  9 13  |  7  6  | 18 19  |
| 12 18  |  4 13  | 19  7  |  5  9  | 20 15  | 10  3  |  6 17  |  1  8  | 14 11  |  2 16  |
| 13  9  | 20 14  | 16 12  | 11 17  |  6 19  | 15  1  |  2 18  |  7  4  |  8  3  | 10  5  |
|  6 17  | 18  7  | 13 15  | 12 19  |  5  9  |  4 14  |  3  1  | 11 16  |  2 10  |  8 20  |
| 14 15  |  6 17  | 18  2  | 13  8  | 11  4  |  7 12  | 19 10  |  5 20  | 16  9  |  1  3  |
| 16  1  |  2 12  | 17 14  |  6 15  |  8  7  |  5 18  |  4 11  | 10  3  | 19 20  | 13  9  |
---------------------------------------------------------------------------------------------------------------
|  8 19  |  1 15  | 20 18  | 16  4  | 10  6  | 14  7  | 11  3  | 17  2  |  9 12  |  5 13  |
|  5  6  |  8 16  | 11 10  | 18  7  | 19  2  | 12  4  |  9 20  | 13  1  | 17 14  |  3 15  |
| 18  2  | 14  3  |  1  6  |  9 13  |  4 11  | 16  8  | 15 19  | 12  7  | 20  5  | 17 10  |
|  9 10  | 13 20  | 14  4  |  1  5  |  3  8  |  6  2  | 17 16  | 15 19  | 11 18  |  7 12  |
| 17 11  |  7  5  |  8  9  | 14 12  | 15  1  |  3 10  | 18  4  | 20  6  | 13 16  | 19  2  |
|  4 12  | 17  2  |  7 19  |  8  6  | 14 18  | 20 11  | 10 13  | 16  5  |  3 15  |  9  1  |
|  1 20  | 11  6  |  2 13  | 19 10  |  9 17  | 18 15  | 12  5  |  3 14  |  4  7  | 16  8  |
|  7 13  | 10 19  | 15 16  |  2  3  | 12  5  |  9 17  | 14  6  |  4 11  |  1  8  | 20 18  |
| 15 14  | 12  4  |  3  5  | 17 20  |  7 16  | 13 19  |  1  8  | 18  9  | 10  2  |  6 11  |
|  3 16  |  9 18  | 12 17  | 15 11  | 13 20  |  1  5  |  7  2  |  8 10  |  6 19  |  4 14  |
---------------------------------------------------------------------------------------------------------------
