---------------------------------------------------------------------------------------------------------------
|  6  2  |  5  4  |  8  3  |  1 18  | 12 16  | 13  9  | 11 14  | 17 19  | 20  7  | 15 10  |
| 11 19  |  7  8  |  1 17  | 12 15  | 18  9  | 10  4  | 13 20  | 14  3  |  2  6  |  5 16  |
|  5  7  | 15 10  |  9 20  |  2  6  |  1  8  | 12 11  |  3  4  | 13 18  | 19 16  | 17 14  |
|  3 16  | 19 12  | 18  6  | 20  5  |  2 17  |  1 14  | 10  9  |  7 11  | 13 15  |  8  4  |
|  9 15  | 16  6  |  7 19  |  3  4  |  5 11  |  2 18  | 12  1  | 10  8  | 17 14  | 20 13  |
| 18  4  |  2  9  | 16 12  |  7  8  | 13 14  |  3 20  | 17  5  |  1 15  | 11 10  | 19  6  |
| 14 13  |  3 17  |  4 15  | 16 11  |  7 10  | 19  5  | 18  2  |  6 20  |  1  8  | 12  9  |
| 10 17  | 14 13  |  5  2  |  9 19  |  3 20  |  7  8  |  6 15  |  4 16  | 18 12  |  1 11  |
|  1 20  | 11 18  | 14 13  | 17 10  |  6  4  | 15 16  |  8 19  |  2 12  |  5  9  |  7  3  |
| 12  8  | 20  1  | 10 11  | 14 13  | 15 19  |  6 17  |  7 16  |  5  9  |  3  4  | 18  2  |
---------------------------------------------------------------------------------------------------------------
| 16  1  | 10 11  | 20 18  | 15 12  | 17  6  | 14  3  | 19 13  |  9  7  |  4  5  |  2  8  |
|  4  3  | 13 19  |  2  7  | 10 17  |  8 15  |  9  6  | 20 11  | 12  5  | 14  1  | 16 18  |
| 20  5  |  9  3  | 11 10  |  8 14  | 16 18  | 17  1  | 15  6  | 19 13  |  7  2  |  4 12  |
| 15 11  |  6 20  | 19  8  |  4  3  |  9  5  | 18 13  |  1 12  | 16  2  | 10 17  | 14  7  |
| 19  6  |  4  2  | 15  5  | 11 20  | 14  3  | 16  7  |  9  8  | 18  1  | 12 13  | 10 17  |
|  2 12  |  1 16  | 13  4  |  6  9  | 20  7  |  5 15  | 14 17  | 11 10  |  8 18  |  3 19  |
| 13 18  | 17  7  |  6  1  | 19  2  |  4 12  | 11 10  | 16  3  |  8 14  | 15 20  |  9  5  |
|  8 10  | 18 14  | 12  9  | 13 16  | 19  1  |  4  2  |  5  7  | 15 17  |  6  3  | 11 20  |
| 17  9  | 12 15  |  3 14  |  5  7  | 10 13  |  8 19  |  2 18  | 20  4  | 16 11  |  6  1  |
|  7 14  |  8  5  | 17 16  | 18  1  | 11  2  | 20 12  |  4 10  |  3  6  |  9 19  | 13 15  |
---------------------------------------------------------------------------------------------------------------
