---------------------------------------------------------------------------------------------------------------
| 13  1  |  3 10  | 14 17  |  6 20  | 16  9  |  8 19  |  5 15  | 11  7  | 18 12  |  2  4  |
|  7 16  | 13 15  | 10  2  | 14  9  |  1  5  | 17  4  |  3 18  | 19  8  |  6 11  | 12 20  |
|  5  9  | 18 17  | 15  3  | 13  1  |  7 12  | 10 11  |  8  6  |  4 16  | 20  2  | 14 19  |
| 11 12  |  6 20  |  5  8  | 15  2  |  4 18  |  7  3  | 17 19  | 13 14  | 16 10  |  1  9  |
|  6  2  | 11  4  |  7 20  |  8 16  | 17 10  |  5 18  | 12 13  |  9  1  | 19 14  |  3 15  |
| 14 17  | 16  7  | 11 13  |  3 12  | 15 19  |  1  6  |  4  9  |  2 20  |  8  5  | 18 10  |
| 19 10  | 14 12  |  6 16  | 17  5  | 13  2  | 20  9  |  1  7  | 18  3  | 15  4  |  8 11  |
|  4 15  |  5  2  | 19  1  | 10 18  | 14  8  | 13 16  | 11 20  |  6 12  |  9  3  | 17  7  |
|  3 18  |  9  8  | 12  4  | 19 11  |  6 20  | 14 15  | 16  2  | 17 10  |  7  1  | 13  5  |
|  8 20  | 19  1  |  9 18  |  4  7  |  3 11  | 12  2  | 10 14  | 15  5  | 17 13  | 16  6  |
---------------------------------------------------------------------------------------------------------------
|  1  6  | 10 14  |  8  5  | 12 17  | 11  7  | 16 13  |  9  3  | 20 19  |  2 15  |  4 18  |
| 20  4  | 12  6  | 17 10  | 11  8  | 19 15  |  3 14  |  7 16  |  5 13  |  1 18  |  9  2  |
| 18  3  | 20  9  |  4  7  | 16 14  |  5 13  | 15  8  |  2 11  | 12 17  | 10 19  |  6  1  |
| 10 19  |  1  5  | 13 14  | 20  3  |  2 16  |  6 12  | 15  8  |  7 18  |  4  9  | 11 17  |
|  2  7  |  8 16  | 20  6  | 18  4  | 12 14  | 11  5  | 19  1  | 10  9  | 13 17  | 15  3  |
| 12  8  |  7 19  |  3  9  |  1  6  | 20  4  |  2 10  | 18 17  | 14 15  | 11 16  |  5 13  |
| 15 13  |  4  3  | 18 11  |  9 10  |  8  6  | 19 17  | 14  5  |  1  2  | 12  7  | 20 16  |
|  9 14  | 15 18  | 16 19  |  2 13  | 10 17  |  4  1  |  6 12  |  3 11  |  5 20  |  7  8  |
| 17 11  |  2 13  |  1 15  |  5 19  | 18  3  |  9  7  | 20  4  | 16  6  | 14  8  | 10 12  |
| 16  5  | 17 11  |  2 12  |  7 15  |  9  1  | 18 20  | 13 10  |  8  4  |  3  6  | 19 14  |
---------------------------------------------------------------------------------------------------------------
