---------------------------------------------------------------------------------------------------------------
|  1  7  |  8  3  | 11 12  | 17 18  | 16 13  | 14 19  |  6  5  | 10  4  | 20  9  |  2 15  |
|  6 13  | 20  2  | 15 18  |  3 16  | 17 11  | 12  5  |  7 14  | 19  1  |  8  4  | 10  9  |
|  8 18  |  1  6  | 13  3  | 14 15  | 20  9  |  2 17  | 10 19  | 12 11  | 16  7  |  5  4  |
|  2  9  | 12 18  |  8 20  |  4 11  |  7 19  | 15 16  |  3 13  | 14  5  | 10  6  |  1 17  |
|  3 14  | 10 17  |  6 16  | 12  2  | 18  4  | 11  9  | 15 20  |  7  8  |  5  1  | 13 19  |
| 15  4  | 13 14  | 19  1  |  6 20  |  3  5  | 10 18  | 11 12  |  9 16  | 17  2  |  7  8  |
| 12 17  |  9  7  | 14 10  | 13  5  | 15  6  |  3  4  |  1  8  | 18  2  | 19 11  | 20 16  |
| 19  5  | 15 16  | 17  7  |  8  1  | 10  2  | 20  6  |  9  4  |  3 13  | 12 18  | 11 14  |
| 11 16  | 19  5  |  4  9  | 10  7  |  8 14  | 13  1  | 18  2  | 20 17  |  3 15  | 12  6  |
| 20 10  |  4 11  |  5  2  | 19  9  |  1 12  |  7  8  | 16 17  | 15  6  | 14 13  |  3 18  |
---------------------------------------------------------------------------------------------------------------
| 10 12  |  6  8  | 18 14  |  2 13  |  5  7  | 16 20  | 19  9  | 11 15  |  1 17  |  4  3  |
| 16  1  |  2 13  |  9  8  |  5 14  |  4 15  | 19 11  | 20  7  |  6  3  | 18 10  | 17 12  |
|  4  3  | 17 12  |  2  6  |  9  8  | 11 18  |  5 15  | 13  1  | 16 14  |  7 20  | 19 10  |
|  9  2  | 16  1  | 10  5  | 15  3  | 14 17  |  4 12  |  8 18  | 13 20  | 11 19  |  6  7  |
| 17 15  | 11 19  | 12 13  |  7 10  |  2  8  |  9 14  |  5  6  |  1 18  |  4  3  | 16 20  |
|  7  8  | 14 10  | 16 19  |  1 12  |  6 20  | 18 13  |  4  3  | 17  9  |  2  5  | 15 11  |
| 18 19  |  5  4  |  1 11  | 20  6  |  9 10  |  8  3  | 17 16  |  2  7  | 15 12  | 14 13  |
|  5 20  |  7 15  |  3 17  | 11  4  | 13 16  |  6  2  | 12 10  |  8 19  |  9 14  | 18  1  |
| 13 11  |  3  9  | 20  4  | 18 19  | 12  1  | 17  7  | 14 15  |  5 10  |  6 16  |  8  2  |
| 14  6  | 18 20  |  7 15  | 16 17  | 19  3  |  1 10  |  2 11  |  4 12  | 13  8  |  9  5  |
---------------------------------------------------------------------------------------------------------------
