---------------------------------------------------------------------------------------------------------------
| 10 18  | 20  9  | 17  4  |  2 19  |  8  3  | 13  6  | 15 12  |  1  7  | 16 14  |  5 11  |
| 16 17  | 18  3  | 13  7  | 20  1  | 11 14  |  8  5  |  2  4  | 12  6  | 10 15  | 19  9  |
| 20  8  | 17 14  | 12 11  | 10 15  |  4 16  | 19  3  |  6  9  |  2  5  | 18 13  |  1  7  |
|  6  3  |  8 15  | 10  5  |  7  4  |  9  1  | 17 16  | 19 11  | 20 14  |  2 12  | 13 18  |
| 13 15  | 10 11  | 18  2  |  3 14  |  7 20  |  4 12  |  8 16  | 19  9  |  5  1  |  6 17  |
|  2  7  | 16 19  |  9  6  | 18 17  | 10 12  |  1 20  |  3  5  |  4 13  |  8 11  | 14 15  |
| 11  5  | 12  1  | 19 16  | 13  9  | 18 17  | 14  7  | 10 20  | 15  3  |  6  4  |  2  8  |
|  1 14  |  5  4  |  3 15  | 11 12  | 19  6  |  2  9  | 17 13  |  8 18  | 20  7  | 10 16  |
|  9 12  | 13  2  | 14 20  |  6  8  | 15  5  | 18 11  |  1  7  | 10 16  | 19 17  |  4  3  |
| 19  4  |  7  6  |  8  1  |  5 16  |  2 13  | 10 15  | 14 18  | 11 17  |  3  9  | 12 20  |
---------------------------------------------------------------------------------------------------------------
|  7 10  |  4 16  | 15 19  |  9  3  | 12  8  |  6 17  | 13  1  |  5  2  | 11 18  | 20 14  |
| 18 19  |  3  7  | 11 17  |  8 10  |  1  4  |  9 13  | 12  6  | 16 20  | 14  2  | 15  5  |
|  5  9  | 11 17  |  7  8  |  4 20  |  3  2  | 12 14  | 18 15  | 13 10  |  1  6  | 16 19  |
|  4 20  | 19 12  | 16 14  | 17  7  |  5  9  |  3  2  | 11 10  |  6  1  | 15  8  | 18 13  |
| 17  1  | 14 20  |  6  9  | 19  2  | 16 10  |  7  4  |  5  8  | 18 15  | 13  3  | 11 12  |
| 12  2  |  6 18  |  1  3  | 16 11  | 13 15  |  5 10  | 20 14  |  9  8  |  7 19  | 17  4  |
| 15 13  |  2 10  | 20 18  | 14  6  | 17 11  | 16  8  |  4  3  |  7 19  | 12  5  |  9  1  |
|  8 11  |  1 13  |  4 10  | 15  5  | 14 19  | 20 18  |  9  2  |  3 12  | 17 16  |  7  6  |
| 14  6  | 15  8  |  5 13  | 12 18  | 20  7  | 11  1  | 16 19  | 17  4  |  9 10  |  3  2  |
|  3 16  |  9  5  |  2 12  |  1 13  |  6 18  | 15 19  |  7 17  | 14 11  |  4 20  |  8 10  |
---------------------------------------------------------------------------------------------------------------
