---------------------------------------------------------------------------------------------------------------
| 10  3  |  2 15  |  7  6  | 13 14  | 17 12  | 18 16  |  9 19  |  1 20  |  4  8  | 11  5  |
| 11 20  |  3 12  | 17  8  |  9 18  | 13  6  |  1  2  | 15 14  | 10  5  | 16  7  |  4 19  |
|  5  4  | 10 17  |  3  1  | 20  6  |  8  9  | 12 14  | 18  7  | 19  2  | 11 13  | 16 15  |
|  9  6  | 13 16  |  2 12  | 11  3  |  4 14  |  8 19  | 20  5  | 18 15  | 10 17  |  7  1  |
|  8 13  | 11 18  | 10 16  |  2 12  |  1 19  |  6 17  |  4  3  | 14  7  |  5 15  | 20  9  |
| 12  2  | 20 14  | 11  5  | 17 16  | 10  3  | 15  7  |  1  6  |  9  4  | 19 18  | 13  8  |
| 17 16  |  8  6  |  9 19  |  7 15  | 18  2  |  4  5  | 12 13  | 11  3  |  1 20  | 10 14  |
|  7  1  |  9  4  | 20 15  |  5 19  | 16 11  | 13 10  |  2 17  | 12  8  | 14  3  | 18  6  |
| 18 15  |  1 19  |  4 14  |  8 10  |  5  7  |  3 20  | 16 11  | 17 13  |  9  6  |  2 12  |
| 19 14  |  5  7  | 13 18  |  4  1  | 20 15  | 11  9  |  8 10  | 16  6  | 12  2  | 17  3  |
---------------------------------------------------------------------------------------------------------------
|  1 10  | 14  3  |  5  9  | 16 13  | 15  8  | 19  6  |  7  2  | 20 17  | 18 11  | 12  4  |
|  4  5  | 16 20  |  1  2  | 12  9  | 14 10  | 17 13  | 11  8  |  6 18  |  3 19  | 15  7  |
| 15  8  | 19 11  | 12  3  |  6  2  |  7 13  | 20 18  |  5  1  |  4 14  | 17 10  |  9 16  |
| 13  9  |  6  1  | 16  4  |  3  5  |  2 18  | 14 11  | 17 20  | 15 19  |  7 12  |  8 10  |
|  3 12  |  4  2  |  8 11  | 10  7  |  9 16  |  5 15  |  6 18  | 13  1  | 20 14  | 19 17  |
| 20  7  | 18 10  | 19 13  |  1 17  |  3  5  |  9 12  | 14 16  |  8 11  | 15  4  |  6  2  |
| 16 11  | 12 13  | 14 20  | 19  4  |  6 17  |  7  3  | 10 15  |  2  9  |  8  1  |  5 18  |
|  2 18  | 15  5  |  6 17  | 14 11  | 12  1  | 16  8  | 19  4  |  7 10  | 13  9  |  3 20  |
|  6 19  | 17  8  | 18  7  | 15 20  | 11  4  | 10  1  |  3  9  |  5 12  |  2 16  | 14 13  |
| 14 17  |  7  9  | 15 10  | 18  8  | 19 20  |  2  4  | 13 12  |  3 16  |  6  5  |  1 11  |
---------------------------------------------------------------------------------------------------------------
