---------------------------------------------------------------------------------------------------------------
|  7 15  | 16 19  |  8  5  | 20 13  |  4  3  |  1  2  | 11 17  | 18 12  |  6  9  | 14 10  |
|  4 19  |  9 13  | 20 12  |  5 18  | 11  2  | 17 10  |  1  8  | 15  3  | 14  7  |  6 16  |
| 10  9  |  8 11  | 19  2  |  7 16  | 14 18  |  6 12  | 13  3  | 17  1  |  5  4  | 20 15  |
|  8  2  | 12 10  |  1  6  | 17 14  | 20  5  | 18  9  | 19  7  | 11  4  | 15 16  |  3 13  |
| 11  3  |  4  5  |  9 13  | 19 12  | 15  1  | 20  7  | 18  6  | 14 16  | 17 10  |  8  2  |
|  1 20  |  2 18  | 10  4  | 11 15  | 19  7  | 16 14  | 12  5  |  6  8  | 13  3  | 17  9  |
| 14  5  |  7 15  |  3 18  |  4 10  | 17  6  | 11 19  |  2 16  | 13  9  |  8 20  |  1 12  |
| 16 18  |  1 17  | 14 11  |  2  6  |  8 13  |  3  5  | 15  9  | 10 20  | 12 19  |  4  7  |
| 17  6  | 14 20  | 16 15  |  1  3  | 12  9  | 13  8  | 10  4  |  7  5  | 18  2  | 19 11  |
| 13 12  |  6  3  | 17  7  |  9  8  | 10 16  |  4 15  | 20 14  |  2 19  |  1 11  | 18  5  |
---------------------------------------------------------------------------------------------------------------
|  2 10  | 15  9  |  7 17  | 14 11  |  3 12  |  5 13  |  6  1  | 20 18  | 19  8  | 16  4  |
| 18 17  | 13  2  |  5 19  |  3  4  | 16 15  | 10 11  |  9 20  |  1  6  |  7 14  | 12  8  |
| 20 13  | 19 12  | 15 16  |  6  5  | 18  4  |  9  3  | 14 11  |  8  7  |  2  1  | 10 17  |
| 15  8  |  5 16  | 13 10  | 12 20  |  6 14  |  2  4  |  3 18  | 19 11  |  9 17  |  7  1  |
| 19 11  | 10  8  |  2  1  | 15  7  | 13 20  | 14 18  |  5 12  |  4 17  | 16  6  |  9  3  |
| 12 14  |  3  1  | 11  8  | 16  2  |  7 17  | 19 20  |  4 13  |  9 15  | 10 18  |  5  6  |
|  5 16  | 20  6  | 12  9  | 13 17  |  2 19  |  8  1  |  7 10  |  3 14  |  4 15  | 11 18  |
|  3  1  | 11  4  |  6 14  | 18  9  |  5  8  |  7 17  | 16  2  | 12 10  | 20 13  | 15 19  |
|  6  4  | 17  7  | 18 20  | 10  1  |  9 11  | 15 16  |  8 19  |  5 13  |  3 12  |  2 14  |
|  9  7  | 18 14  |  4  3  |  8 19  |  1 10  | 12  6  | 17 15  | 16  2  | 11  5  | 13 20  |
---------------------------------------------------------------------------------------------------------------
