---------------------------------------------------------------------------------------------------------------
| 14  9  | 17  3  | 10 15  |  2 20  |  1 12  | 16  7  | 18  4  | 11  5  |  8 19  | 13  6  |
| 13  4  | 12  1  |  3 17  |  6  8  | 19 14  | 11  5  | 16  7  | 10  9  |  2 20  | 18 15  |
|  3  7  |  9 15  |  1 20  | 18 19  |  8 16  | 10  4  | 11  5  |  6 14  | 13 12  |  2 17  |
| 18  5  | 16  2  |  6 11  |  1  9  | 20 13  |  8 12  |  3 15  |  7 19  | 17 14  |  4 10  |
| 20 12  |  6  5  | 19 18  | 15 16  |  3  2  | 14 13  |  8 10  | 17  1  | 11  4  |  7  9  |
| 10 11  | 14 20  |  5 12  |  3  7  |  9  4  | 15  6  |  1 17  |  2 13  | 18 16  | 19  8  |
|  8  6  | 10  4  | 14  2  | 12 11  | 15 18  | 19 17  | 20 13  | 16  3  |  7  9  |  5  1  |
|  1 17  | 13  8  |  9 16  | 10 14  |  6  7  |  3 20  | 19  2  |  4 18  |  5 15  | 11 12  |
|  2 16  | 11 19  | 13  7  |  4  5  | 10 17  |  1 18  |  9 12  | 15  8  |  3  6  | 20 14  |
| 19 15  | 18  7  |  8  4  | 17 13  | 11  5  |  9  2  |  6 14  | 12 20  |  1 10  | 16  3  |
---------------------------------------------------------------------------------------------------------------
|  7 10  | 15 12  | 20  1  | 19  4  | 17  6  | 18  9  | 14 11  |  8  2  | 16  5  |  3 13  |
|  6  2  |  7 17  |  4  5  | 20 12  | 18 15  | 13  8  | 10  9  | 14 16  | 19  3  |  1 11  |
|  4 14  |  3 11  |  7  8  |  5 18  | 12 20  | 17  1  | 15 19  | 13  6  | 10  2  |  9 16  |
| 11  1  | 19 18  | 17  3  |  8 15  |  4 10  |  5 16  | 13 20  |  9 12  | 14  7  |  6  2  |
| 16 19  |  5 10  | 11  9  |  7  1  |  2  8  | 20 15  | 17  6  |  3  4  | 12 13  | 14 18  |
| 17  3  | 20 13  | 18  6  | 11 10  |  5  9  | 12 14  |  2 16  |  1  7  |  4  8  | 15 19  |
| 15  8  |  4  9  | 16 19  | 14 17  | 13 11  |  2  3  |  7  1  |  5 10  |  6 18  | 12 20  |
|  9 20  |  8 14  | 12 13  | 16  2  |  7  1  |  6 19  |  5  3  | 18 17  | 15 11  | 10  4  |
|  5 13  |  1 16  |  2 10  |  9  6  | 14  3  |  4 11  | 12 18  | 19 15  | 20 17  |  8  7  |
| 12 18  |  2  6  | 15 14  | 13  3  | 16 19  |  7 10  |  4  8  | 20 11  |  9  1  | 17  5  |
---------------------------------------------------------------------------------------------------------------
