---------------------------------------------------------------------------------------------------------------
| 13  3  | 14 11  |  6 19  | 12  7  | 17  2  | 15  1  |  9 16  | 18 20  | 10  8  |  4  5  |
| 15 18  |  5  3  | 11  7  | 13  1  | 16 20  |  2  8  |  4 17  |  9 14  | 19 12  | 10  6  |
|  8  9  | 18  6  |  3 10  |  4  2  |  1 12  | 17 20  | 13  7  | 16  5  | 15 11  | 19 14  |
|  2  7  |  4 12  | 18 14  |  3  9  | 15 10  | 11 13  | 20  1  |  8 19  |  5  6  | 17 16  |
|  1  4  | 17  2  |  9 13  | 11 10  | 19  3  | 12 18  | 15  5  |  7  6  | 16 14  |  8 20  |
| 16 12  |  1  9  |  4 15  |  5  6  | 14 18  |  3 10  |  8 19  | 17 13  | 20  7  |  2 11  |
| 10 14  | 16 15  |  2 17  | 18 20  |  8  5  |  7 19  | 12  6  |  1 11  | 13  4  |  3  9  |
| 17  5  |  8 19  | 16 20  | 15 14  |  7 13  |  9  6  | 11 18  | 10  4  |  3  2  | 12  1  |
| 20 19  | 13 10  |  8 12  | 17 16  |  6 11  |  5  4  |  2 14  | 15  3  |  1  9  |  7 18  |
| 11  6  |  7 20  |  5  1  | 19  8  |  4  9  | 14 16  | 10  3  | 12  2  | 18 17  | 15 13  |
---------------------------------------------------------------------------------------------------------------
|  3 11  | 12  7  |  1  6  |  8  4  | 20 16  | 13 14  |  5 10  |  2  9  | 17 19  | 18 15  |
|  4 10  | 11  8  |  7  3  | 20 12  |  2 14  | 16 15  | 18 13  |  5 17  |  9  1  |  6 19  |
|  7 13  | 15 18  | 14 16  |  1 17  |  9  4  |  6 11  | 19  8  | 20 10  | 12  3  |  5  2  |
| 19  1  |  2 16  | 13  4  |  7  5  |  3 17  | 18 12  |  6 11  | 14 15  |  8 20  |  9 10  |
|  9 20  |  3 14  | 10 11  |  2 18  | 13  7  |  1  5  | 17 12  | 19  8  |  6 15  | 16  4  |
| 14 15  |  9  4  | 19  5  | 16 11  | 12  1  | 20 17  |  3  2  |  6 18  |  7 10  | 13  8  |
| 18  8  | 10 13  | 12  9  | 14  3  | 11  6  | 19  7  |  1 15  |  4 16  |  2  5  | 20 17  |
| 12  2  | 19 17  | 15 18  |  6 13  |  5  8  | 10  9  | 14 20  | 11  7  |  4 16  |  1  3  |
|  6 16  | 20  5  | 17  8  | 10 19  | 18 15  |  4  2  |  7  9  |  3  1  | 11 13  | 14 12  |
|  5 17  |  6  1  | 20  2  |  9 15  | 10 19  |  8  3  | 16  4  | 13 12  | 14 18  | 11  7  |
---------------------------------------------------------------------------------------------------------------
