---------------------------------------------------------------------------------------------------------------
| 13 17  |  9 10  |  2  6  | 15 18  | 20  4  |  1  8  | 14  5  | 19  7  |  3 16  | 12 11  |
|  3 11  | 17  1  | 20 18  |  4  9  | 15 12  | 10  6  |  8 13  | 14 16  | 19  7  |  2  5  |
| 18 12  |  2  6  | 10 13  | 20 11  |  5  9  | 15  7  | 16  4  |  8  3  | 14 17  | 19  1  |
|  2  1  | 18 20  | 17  4  | 14  7  | 10 11  | 12  3  | 15 19  |  5  6  |  8 13  | 16  9  |
|  5  7  | 12 14  |  1 19  |  2  6  | 18  8  | 11 16  |  3 17  | 13 15  |  4  9  | 10 20  |
| 19  6  | 11  8  |  9 14  |  1 17  |  7 16  | 18 20  | 12  2  |  4 10  | 15  5  | 13  3  |
| 14 20  |  7 13  |  3 11  |  8 16  |  6  1  |  5 19  | 18 10  | 17  9  |  2 12  | 15  4  |
| 16  4  |  5 15  |  8 12  | 13 19  |  2  3  |  9 17  |  7  6  | 11 20  | 10  1  | 14 18  |
|  9  8  | 16  3  |  7 15  | 10  5  | 19 13  |  4 14  | 20  1  | 12  2  | 11 18  | 17  6  |
| 10 15  | 19  4  | 16  5  | 12  3  | 14 17  | 13  2  | 11  9  | 18  1  |  6 20  |  7  8  |
---------------------------------------------------------------------------------------------------------------
| 11 13  | 10  5  | 15  8  | 16  1  |  9 19  |  3 18  |  4 14  |  2 17  | 12  6  | 20  7  |
|  6  5  |  4 19  | 12  9  |  3 10  |  1  7  | 20 13  |  2 18  | 16  8  | 17 14  | 11 15  |
| 15 14  |  6 17  | 11 16  |  5  8  | 13 10  |  7  9  |  1 20  |  3 12  | 18  2  |  4 19  |
| 17  3  |  1 16  |  4  7  | 19 15  | 11 18  |  6  5  |  9 12  | 20 14  | 13 10  |  8  2  |
| 12 19  |  3 18  | 14 10  |  7 20  | 16  5  |  2  4  | 13  8  |  9 11  |  1 15  |  6 17  |
|  4  2  |  8 12  |  6 17  |  9 13  |  3 15  | 16  1  |  5  7  | 10 19  | 20 11  | 18 14  |
|  7  9  | 15 11  | 18  3  | 17  2  |  4 20  | 14 10  | 19 16  |  6 13  |  5  8  |  1 12  |
|  1 10  | 14  7  |  5 20  | 11  4  |  8  2  | 17 12  |  6  3  | 15 18  | 16 19  |  9 13  |
| 20 16  | 13  2  | 19  1  | 18 14  | 12  6  |  8 11  | 17 15  |  7  5  |  9  4  |  3 10  |
|  8 18  | 20  9  | 13  2  |  6 12  | 17 14  | 19 15  | 10 11  |  1  4  |  7  3  |  5 16  |
---------------------------------------------------------------------------------------------------------------
