---------------------------------------------------------------------------------------------------------------
| 17 20  |  8  3  |  9 18  |  1 16  |  7 14  | 10 15  |  6 12  | 13  2  |  5 11  | 19  4  |
|  9  5  |  6 15  | 11  7  | 13 17  | 20 19  | 14  2  |  4  8  | 12 16  | 10  3  | 18  1  |
|  4 18  | 13 10  | 19  5  |  7 11  |  2 12  | 17  9  | 15 14  |  1 20  | 16  8  |  3  6  |
| 16  2  | 17  1  | 13  3  |  5 20  | 11 18  |  7  4  |  9 10  | 15 14  | 19  6  |  8 12  |
|  7 15  |  9  4  | 17 20  |  3  6  | 16 13  |  5  1  | 11  2  |  8 19  | 12 18  | 10 14  |
| 13 10  |  7 20  |  8  6  |  9 19  | 17  5  | 18 12  |  1  3  |  4 11  | 15 14  |  2 16  |
| 19 12  | 18 14  |  4  1  | 10  2  |  9  6  | 20  8  | 16 13  |  3  5  | 17  7  | 15 11  |
|  6 14  | 12 19  |  2 16  |  4 18  |  8 15  | 11  3  |  5 20  | 10  9  |  1 13  |  7 17  |
|  3  1  | 11  5  | 15 12  |  8 14  |  4 10  | 16  6  | 17 19  | 18  7  | 20  2  |  9 13  |
|  8 11  |  2 16  | 14 10  | 12 15  |  3  1  | 19 13  |  7 18  |  6 17  |  9  4  |  5 20  |
---------------------------------------------------------------------------------------------------------------
|  1  4  |  3  8  | 10  9  | 16 12  | 18 20  | 13 19  |  2  5  | 11 15  | 14 17  |  6  7  |
| 11  7  |  1 13  | 16 14  |  2  8  |  5  4  |  3 18  | 10 15  | 17 12  |  6  9  | 20 19  |
| 18  3  | 19  7  | 12  2  | 14  9  | 15 17  |  6 11  | 13 16  |  5 10  |  4 20  |  1  8  |
| 20 16  | 14 11  |  3 13  | 15  1  | 19  2  |  9  5  | 12  4  |  7  6  |  8 10  | 17 18  |
| 10 13  |  4  6  | 18 17  | 11  3  |  1 16  | 12 20  | 19  9  |  2  8  |  7  5  | 14 15  |
| 15 17  |  5 12  |  7  8  | 18  4  | 10 11  |  2 14  | 20  6  |  9  1  | 13 19  | 16  3  |
|  2  6  | 16 18  |  5 11  | 20 10  | 12  8  | 15  7  | 14 17  | 19  4  |  3  1  | 13  9  |
| 14  8  | 20  2  |  6 19  | 17  7  | 13  9  |  4 10  | 18  1  | 16  3  | 11 15  | 12  5  |
|  5  9  | 15 17  | 20  4  | 19 13  |  6  3  |  1 16  |  8  7  | 14 18  |  2 12  | 11 10  |
| 12 19  | 10  9  |  1 15  |  6  5  | 14  7  |  8 17  |  3 11  | 20 13  | 18 16  |  4  2  |
---------------------------------------------------------------------------------------------------------------
