---------------------------------------------------------------------------------------------------------------
|  8  5  | 11  1  | 14  4  | 10  6  | 13  9  | 20 16  |  2 18  |  3 15  |  7 17  | 12 19  |
| 14 16  |  8  2  | 11 13  | 20  9  | 10  1  | 15 19  |  5  6  | 18  4  | 12  3  | 17  7  |
|  9  7  |  5  3  | 20 10  |  4 17  |  6  2  | 18 13  | 16 15  | 14 12  | 11 19  |  8  1  |
| 11  6  | 15 19  |  3 16  | 13 12  | 20 17  |  9  1  | 14  8  |  5  7  | 18  4  | 10  2  |
|  3 20  |  7 13  |  8  1  | 15 18  |  4 19  | 10  2  | 17 12  |  6 11  | 14  5  | 16  9  |
| 15 17  | 14 18  |  5  7  |  8  3  | 16 11  |  4 12  | 19 20  |  2  1  |  9 10  |  6 13  |
| 10 19  | 17  9  | 15  2  | 14  7  |  3 12  |  5 11  |  4  1  | 16 13  |  6  8  | 18 20  |
|  1 12  | 20 10  |  9 17  |  5  2  |  7 18  | 14  6  | 13 11  | 19  8  | 16 15  |  4  3  |
| 18  4  | 16  6  | 12 19  | 11  1  |  8 15  | 17  3  | 10  7  | 20  9  | 13  2  |  5 14  |
| 13  2  | 12  4  |  6 18  | 19 16  |  5 14  |  7  8  |  9  3  | 17 10  |  1 20  | 15 11  |
---------------------------------------------------------------------------------------------------------------
|  4 15  | 13 14  | 10 12  | 18 19  |  2  7  |  3 20  |  6 17  |  9  5  |  8  1  | 11 16  |
|  2 18  |  3 17  | 13  9  |  6 10  | 15  4  |  8 14  | 12 19  |  1 16  | 20 11  |  7  5  |
| 16  9  | 18  7  |  4 14  |  3 13  | 19  8  | 11 10  | 20  5  | 12 17  |  2  6  |  1 15  |
| 20  1  |  9 12  |  2  3  |  7  5  | 11 13  |  6  4  |  8 10  | 15 19  | 17 16  | 14 18  |
|  6 10  |  1  8  | 18 11  | 16 15  | 17 20  | 19  7  |  3  4  | 13  2  |  5 14  |  9 12  |
| 12 13  |  4 15  | 16  8  |  1 14  | 18  5  |  2 17  | 11  9  | 10 20  | 19  7  |  3  6  |
| 19  8  | 10  5  |  7  6  | 12  4  |  9  3  | 16 18  |  1  2  | 11 14  | 15 13  | 20 17  |
|  5 14  |  2 11  |  1 15  | 17 20  | 12 10  | 13  9  |  7 16  |  4  6  |  3 18  | 19  8  |
| 17 11  |  6 20  | 19  5  |  2  8  |  1 16  | 12 15  | 18 14  |  7  3  |  4  9  | 13 10  |
|  7  3  | 19 16  | 17 20  |  9 11  | 14  6  |  1  5  | 15 13  |  8 18  | 10 12  |  2  4  |
---------------------------------------------------------------------------------------------------------------
