---------------------------------------------------------------------------------------------------------------
| 13  7  |  4 10  |  1 16  | 11  5  |  9  3  | 15 19  | 18  2  | 12 20  |  6 17  | 14  8  |
| 20  8  |  6 13  | 18 11  | 17  9  | 10  5  | 12  1  | 19 15  |  4 16  |  7 14  |  2  3  |
| 14 16  | 20  2  | 19 12  | 13  7  |  1 15  |  5 18  | 17  9  |  3  6  | 11  8  | 10  4  |
|  6  2  | 14  7  |  5  3  | 15 16  | 11 13  | 17 10  |  1  4  | 19  8  | 12 20  |  9 18  |
|  4  3  |  8 19  |  2 15  | 12 14  | 17  6  |  9 13  |  5  7  |  1 11  | 18 10  | 20 16  |
| 11 15  |  3 17  |  4 20  |  8 18  | 14 19  |  7  2  | 10 12  |  9  5  |  1 16  |  6 13  |
| 19  5  | 12 15  | 17  8  |  4 10  | 20  2  |  3 14  | 16  6  | 18  7  |  9 13  |  1 11  |
|  9 18  | 16 11  |  7 14  |  2  1  |  8  4  | 20  6  | 13  3  | 17 10  |  5 15  | 12 19  |
|  1 10  |  5 18  |  6  9  | 20  3  | 16 12  |  4  8  | 14 11  | 13 15  | 19  2  | 17  7  |
| 17 12  |  9  1  | 13 10  | 19  6  |  7 18  | 16 11  | 20  8  |  2 14  |  3  4  | 15  5  |
---------------------------------------------------------------------------------------------------------------
| 15 17  |  1 12  | 10  7  |  6 13  | 19 14  |  8 20  |  4 16  | 11 18  |  2  5  |  3  9  |
| 10 11  | 13  4  | 15 17  | 16 20  |  3  9  | 18  7  |  8  1  |  6 12  | 14 19  |  5  2  |
| 18 14  | 15  8  | 12 19  | 10 17  |  6  1  | 13  3  |  7  5  | 16  2  |  4  9  | 11 20  |
|  5 13  | 11 14  |  9 18  |  7 15  | 12  8  | 19 17  |  2 20  | 10  3  | 16  1  |  4  6  |
|  3  9  | 17 20  |  8  4  | 18 11  | 13 16  |  2  5  |  6 10  |  7  1  | 15 12  | 19 14  |
| 12  1  |  2  5  | 11 13  | 14 19  | 15 17  |  6 16  |  9 18  | 20  4  |  8  3  |  7 10  |
|  7  4  | 18  3  | 14  5  |  1 12  |  2 11  | 10  9  | 15 13  |  8 19  | 20  6  | 16 17  |
|  8 20  |  7 16  |  3  6  |  5  2  | 18 10  |  1  4  | 12 19  | 14  9  | 17 11  | 13 15  |
|  2  6  | 19  9  | 16  1  |  3  8  |  4 20  | 14 15  | 11 17  |  5 13  | 10  7  | 18 12  |
| 16 19  | 10  6  | 20  2  |  9  4  |  5  7  | 11 12  |  3 14  | 15 17  | 13 18  |  8  1  |
---------------------------------------------------------------------------------------------------------------
