---------------------------------------------------------------------------------------------------------------
| 10 11  |  4 13  | 18  6  | 14  7  |  2  8  | 16 15  | 20 12  | 17  5  |  9 19  |  3  1  |
| 17 18  |  6  3  | 12 11  | 20  2  | 14  1  |  8 10  | 16  5  |  9  7  | 15 13  | 19  4  |
|  6 15  | 17  7  |  3  4  | 10 13  | 20 11  |  1  5  | 14  2  | 12 19  |  8 16  |  9 18  |
|  3 16  | 18  8  |  7  5  |  4 11  |  6 13  |  2 14  | 19  9  | 20 10  | 17  1  | 15 12  |
|  1  2  | 19 16  | 14 17  | 18  5  |  3 10  | 11  9  | 15  7  |  8 13  |  4 12  | 20  6  |
|  5  8  | 12  1  | 10 13  | 17  3  | 18  9  |  6 19  | 11  4  | 14 15  |  7 20  | 16  2  |
| 13 14  | 10  2  |  8  1  |  6  9  | 19 15  | 20 12  | 18  3  | 16  4  |  5 11  | 17  7  |
| 12 19  |  9 15  | 16 20  |  1  8  |  5  7  |  3  4  | 13 17  | 11  2  |  6 18  | 14 10  |
|  4  7  | 14 20  |  2  9  | 15 19  | 12 16  | 13 17  |  8  6  | 18  1  | 10  3  |  5 11  |
|  9 20  | 11  5  | 15 19  | 12 16  |  4 17  | 18  7  | 10  1  |  6  3  | 14  2  |  8 13  |
---------------------------------------------------------------------------------------------------------------
|  7 17  | 20 19  |  9 15  |  2 10  | 16  3  |  5  6  |  1 18  |  4 12  | 11  8  | 13 14  |
| 18 10  |  7  6  | 19 12  |  3 15  |  8  2  | 17 11  |  5 13  |  1 14  | 16  9  |  4 20  |
|  8  6  |  1 18  | 13 16  | 19  4  |  9 14  | 15  2  | 17 11  | 10 20  | 12  5  |  7  3  |
|  2 13  |  3 11  |  1 18  |  5 20  | 17 12  |  4 16  |  6 14  | 15  9  | 19  7  | 10  8  |
| 15  3  |  5  9  | 11  7  | 13 12  | 10 18  | 14  8  |  2 16  | 19  6  | 20  4  |  1 17  |
| 20  9  | 13 12  |  6  8  |  7  1  | 15  5  | 10 18  |  4 19  |  2 17  |  3 14  | 11 16  |
| 16  4  |  8 10  | 20  3  |  9 14  | 11 19  | 12  1  |  7 15  | 13 18  |  2 17  |  6  5  |
| 11 12  | 15  4  |  5 14  |  8 17  |  1 20  | 19 13  |  3 10  |  7 16  | 18  6  |  2  9  |
| 14  5  |  2 17  |  4 10  | 16 18  | 13  6  |  7 20  |  9  8  |  3 11  |  1 15  | 12 19  |
| 19  1  | 16 14  | 17  2  | 11  6  |  7  4  |  9  3  | 12 20  |  5  8  | 13 10  | 18 15  |
---------------------------------------------------------------------------------------------------------------
