---------------------------------------------------------------------------------------------------------------
| 17  4  |  9 14  |  1  2  | 18  3  |  6  8  | 15 20  | 13 16  |  7  5  | 10 11  | 19 12  |
|  2  9  | 17 10  | 11 15  |  8 19  |  3 14  | 13  7  | 12 18  |  6  4  | 20  5  | 16  1  |
| 11 16  | 15  7  |  9 17  |  1  5  | 18 13  | 10  8  |  4 20  | 12  2  |  6 19  | 14  3  |
| 15  7  |  4 12  |  5  8  | 16 14  |  1 11  |  6  3  |  2 19  | 20 13  | 18  9  | 17 10  |
| 14  3  |  2 18  |  6 13  | 11  9  |  7 19  |  1 16  |  8 15  | 17 10  |  4 12  | 20  5  |
| 10 12  | 16 11  |  4 20  | 15 17  |  9  2  | 18 14  |  1  5  |  3 19  | 13  7  |  6  8  |
| 13 20  |  3 19  | 12  7  |  2 10  | 17 15  | 11  5  |  6 14  |  8 18  | 16  1  |  4  9  |
|  6 18  | 20  8  | 10 14  | 12  7  |  4  5  |  9 19  |  3 17  |  1 16  | 15  2  | 13 11  |
| 19  1  |  5  6  |  3 18  |  4 13  | 16 20  | 17 12  |  7 10  |  9 11  |  8 14  |  2 15  |
|  8  5  |  1 13  | 19 16  |  6 20  | 10 12  |  4  2  |  9 11  | 14 15  |  3 17  |  7 18  |
---------------------------------------------------------------------------------------------------------------
| 16 17  |  8  5  | 20  6  | 14  4  | 15  7  | 12 18  | 10 13  |  2  9  |  1  3  | 11 19  |
| 18  6  | 10 17  |  2 19  | 13  8  | 12  4  | 20  1  | 16  9  | 11  3  |  7 15  |  5 14  |
| 20  2  | 13 16  | 15 10  |  7 11  | 14 18  | 19  4  | 17  1  |  5 12  |  9  8  |  3  6  |
|  4 10  | 12  2  | 16  5  | 20 15  | 11  9  | 14 13  | 18  3  | 19  1  | 17  6  |  8  7  |
|  9 14  | 18 15  |  7  1  |  5  2  |  8  6  |  3 17  | 19  4  | 13 20  | 11 10  | 12 16  |
|  3 13  |  7 20  | 18 12  | 10 16  |  2  1  |  8 11  |  5  6  | 15 14  | 19  4  |  9 17  |
| 12 19  |  6  3  | 17  4  |  9 18  |  5 10  |  2 15  | 11  8  | 16  7  | 14 13  |  1 20  |
|  1  8  | 14  9  | 13 11  | 19 12  | 20  3  |  7  6  | 15  2  | 10 17  |  5 16  | 18  4  |
|  7 15  | 11  4  |  8  3  | 17  1  | 19 16  |  5  9  | 14 12  | 18  6  |  2 20  | 10 13  |
|  5 11  | 19  1  | 14  9  |  3  6  | 13 17  | 16 10  | 20  7  |  4  8  | 12 18  | 15  2  |
---------------------------------------------------------------------------------------------------------------
