---------------------------------------------------------------------------------------------------------------
|  3 10  | 19 14  |  9 15  | 12  8  |  1 18  |  6  2  | 13  4  |  7  5  | 17 20  | 16 11  |
|  5 13  | 16  8  | 20 17  |  6 18  | 12  9  |  3 10  | 15 19  |  4 14  |  2 11  |  7  1  |
| 19 15  |  3 13  | 18  5  | 20  2  |  8  7  | 12  1  |  9 17  | 11 10  | 14 16  |  4  6  |
|  9  8  | 20 11  |  3 19  | 13  5  |  6 15  | 16 18  | 12  1  | 17  2  |  7  4  | 14 10  |
| 17  7  | 12  5  |  8  4  |  9 11  | 20  2  | 13 19  |  3 14  | 16  6  | 10  1  | 18 15  |
|  6  2  | 10 15  | 13  7  |  4  1  |  5 14  |  9 20  | 11 16  | 12  3  | 19 18  | 17  8  |
| 20  4  | 17  6  | 11  2  | 15 10  | 13 16  | 14  7  | 18  8  |  1 19  | 12  9  |  5  3  |
|  1 12  |  4  7  | 16  6  |  3 14  | 17 10  | 15 11  |  2 20  | 18  9  |  5  8  | 19 13  |
| 14 16  |  1 18  | 12 10  |  7 19  |  4 11  |  8 17  |  6  5  | 15 20  | 13  3  |  9  2  |
| 11 18  |  9  2  | 14  1  | 17 16  |  3 19  |  4  5  |  7 10  |  8 13  | 15  6  | 20 12  |
---------------------------------------------------------------------------------------------------------------
|  4 14  | 15 12  |  1 13  | 18  6  | 11  8  | 10  9  | 19  7  |  2 17  | 16  5  |  3 20  |
|  2 20  |  6  4  | 19 11  | 14 17  |  7  5  | 18 13  | 10  9  |  3  1  |  8 15  | 12 16  |
|  8  5  |  7 10  | 15 14  |  1 13  |  2 20  | 19 16  |  4 18  |  9 11  |  3 12  |  6 17  |
| 16  1  | 14 20  |  6  9  | 19  3  | 10 17  |  5  4  |  8 12  | 13  7  | 11  2  | 15 18  |
|  7 11  | 18 19  | 10 12  |  5  9  | 16  6  | 17 15  | 20  3  | 14  8  |  1 13  |  2  4  |
| 10  3  |  8 16  |  2 20  | 11  7  | 18 12  |  1  6  |  5 15  | 19  4  |  9 17  | 13 14  |
| 15  9  |  5  1  | 17 16  |  8 12  | 19 13  |  2  3  | 14  6  | 20 18  |  4 10  | 11  7  |
| 13  6  | 11  3  |  7  8  | 16 15  |  9  4  | 20 14  | 17  2  | 10 12  | 18 19  |  1  5  |
| 18 17  |  2  9  |  4  3  | 10 20  | 14  1  | 11 12  | 16 13  |  5 15  |  6  7  |  8 19  |
| 12 19  | 13 17  |  5 18  |  2  4  | 15  3  |  7  8  |  1 11  |  6 16  | 20 14  | 10  9  |
---------------------------------------------------------------------------------------------------------------
