---------------------------------------------------------------------------------------------------------------
| 16 14  | 18  3  | 13  4  |  7  2  | 20  6  | 15 17  | 11  9  |  8 19  |  5  1  | 10 12  |
| 10  7  | 19 14  | 20 11  |  5 12  |  2  4  |  6  3  | 15 13  | 18 17  |  8 16  |  1  9  |
|  4  9  |  6 12  | 19  1  |  8 20  |  5 16  | 18  2  | 17  3  | 13 15  | 11 10  |  7 14  |
| 17  8  | 11  7  | 14 10  | 19 18  |  1 13  |  5  9  |  2  6  |  3 12  | 15 20  | 16  4  |
| 15  2  | 17 10  |  7  3  | 14  6  | 19 11  |  8 12  |  5 18  |  1 16  |  4  9  | 20 13  |
|  6 18  | 16  2  |  8 12  | 10  3  | 14 15  | 13  7  |  1  4  |  9 20  | 17 19  |  5 11  |
| 19 12  |  8 15  | 16  2  |  1 17  | 18  9  | 11  4  |  7 20  |  5 10  | 13 14  |  6  3  |
|  5  3  |  4 20  | 15  9  | 16 13  | 12 10  | 14  1  |  8 19  |  2 11  |  6  7  | 17 18  |
| 20 13  |  1  9  | 17  5  |  4 11  |  3  8  | 16 10  | 14 12  |  6  7  |  2 18  | 19 15  |
| 11  1  |  5 13  | 18  6  | 15  9  |  7 17  | 19 20  | 16 10  | 14  4  | 12  3  |  8  2  |
---------------------------------------------------------------------------------------------------------------
|  2 19  | 13 16  | 11  7  | 12 15  |  4  5  | 20  6  | 10 14  | 17  3  |  9  8  | 18  1  |
|  7 17  | 14 11  |  1 13  | 18  8  | 15  3  |  9  5  |  6 16  | 19  2  | 20  4  | 12 10  |
|  9 10  | 12 19  |  2 14  | 13 16  | 11 20  | 17  8  |  3  5  | 15 18  |  1  6  |  4  7  |
| 18 15  |  7 17  | 12 19  | 11  4  | 10  2  |  3 14  | 13  1  | 20  6  | 16  5  |  9  8  |
|  1 16  |  2 18  | 10 20  |  9 14  |  8 19  |  4 15  | 12  7  | 11  5  |  3 17  | 13  6  |
| 13  6  | 10  8  |  3 18  |  2 19  | 16 12  |  1 11  | 20 17  |  4  9  |  7 15  | 14  5  |
| 12 20  | 15  1  |  9  8  | 17  5  |  6  7  |  2 16  |  4 11  | 10 14  | 18 13  |  3 19  |
| 14 11  |  3  5  |  4 17  |  6 10  |  9  1  |  7 13  | 18 15  | 16  8  | 19 12  |  2 20  |
|  8  4  | 20  6  |  5 16  |  3  7  | 13 18  | 10 19  |  9  2  | 12  1  | 14 11  | 15 17  |
|  3  5  |  9  4  |  6 15  | 20  1  | 17 14  | 12 18  | 19  8  |  7 13  | 10  2  | 11 16  |
---------------------------------------------------------------------------------------------------------------
