---------------------------------------------------------------------------------------------------------------
|  9  6  | 12  4  | 16 20  |  1 17  | 15  8  | 13  3  |  2 10  | 18 11  |  5 14  |  7 19  |
| 13 18  |  5  7  | 10  1  | 16  4  |  9 11  | 15 17  | 14  8  | 19  2  | 12  3  |  6 20  |
| 16 19  | 18 10  |  4  6  |  2  8  |  7 17  | 20  5  |  1 12  | 14  3  | 13 15  |  9 11  |
|  7  2  | 11 19  | 12 17  |  5 18  | 16  6  |  8 10  | 13  3  | 20  4  |  1  9  | 14 15  |
|  4 15  | 14  1  |  8  9  | 10 19  | 20  5  |  7 11  | 17  6  | 12 13  | 18 16  |  3  2  |
|  3 12  |  6  8  | 18  7  | 20 15  |  4 19  |  9 14  | 11  5  | 10  1  |  2 17  | 13 16  |
| 11 10  | 17 20  | 19  5  | 12 14  | 13  3  |  4  2  | 18  9  | 15 16  |  6  7  |  1  8  |
| 17  8  |  9  3  | 11 14  |  7 13  | 18  2  | 12  1  | 15 16  |  5  6  | 20 19  |  4 10  |
| 14  1  |  2 13  | 15  3  |  6  9  | 10 12  | 19 16  |  4 20  | 17  7  | 11  8  | 18  5  |
| 20  5  | 15 16  |  2 13  | 11  3  |  1 14  | 18  6  |  7 19  |  9  8  |  4 10  | 12 17  |
---------------------------------------------------------------------------------------------------------------
|  5  3  |  4 17  |  9 16  | 13 20  |  6 18  |  2 19  | 12 11  |  8 15  |  7  1  | 10 14  |
| 18 20  | 10 12  |  1  4  |  8  7  | 19  9  |  5 15  |  3 17  |  6 14  | 16 11  |  2 13  |
| 19 11  | 20  6  | 17 10  | 14  1  |  8  4  |  3 12  | 16 15  | 13 18  |  9  2  |  5  7  |
|  1  9  | 19 11  | 20 15  | 17  6  | 14  7  | 16 13  |  5 18  |  2 12  | 10  4  |  8  3  |
| 10 13  |  8 15  | 14 11  |  4 16  |  2 20  | 17 18  |  6  7  |  1  5  |  3 12  | 19  9  |
|  8  4  | 13 18  |  6  2  | 19 11  |  5 10  |  1  7  |  9 14  |  3 17  | 15 20  | 16 12  |
| 12 17  |  1  5  |  7 19  |  9 10  |  3 15  |  6  4  |  8  2  | 16 20  | 14 13  | 11 18  |
|  2 16  |  7 14  | 13  8  |  3  5  | 12  1  | 10 20  | 19  4  | 11  9  | 17 18  | 15  6  |
| 15  7  |  3  9  |  5 12  | 18  2  | 11 16  | 14  8  | 20 13  |  4 10  | 19  6  | 17  1  |
|  6 14  | 16  2  |  3 18  | 15 12  | 17 13  | 11  9  | 10  1  |  7 19  |  8  5  | 20  4  |
---------------------------------------------------------------------------------------------------------------
