---------------------------------------------------------------------------------------------------------------
|  7  4  | 18 16  |  5 20  |  8 14  | 10 19  | 11  9  | 17  6  |  2  1  | 15 13  |  3 12  |
| 11 20  |  9  1  | 16  3  | 10 12  |  8 15  | 19  2  | 14 18  | 13 17  |  7  4  |  5  6  |
| 19 18  |  3 13  |  9  8  |  5 20  | 17 11  | 14 15  | 10 16  |  6  7  |  1 12  |  2  4  |
|  2 16  | 17  8  | 18 14  | 11 13  | 12  9  | 10 20  | 15  7  |  4  5  |  6  3  |  1 19  |
| 12 14  | 11 19  | 17  6  |  4  3  |  5 18  |  1  7  |  9 20  | 10 15  |  2 16  | 13  8  |
|  6 10  |  7  2  | 11 13  | 18 15  |  4 20  |  5 12  | 19  1  |  3 16  | 17  8  | 14  9  |
|  3 13  |  4 10  | 19 12  | 16  6  |  2  1  | 17 18  |  5 11  | 20  8  | 14  9  | 15  7  |
| 15  8  | 20 14  | 10  4  | 19  1  |  7 13  |  3  6  | 12  2  | 18  9  |  5 11  | 17 16  |
|  5  9  | 15 12  |  2  1  | 17  7  |  3  6  | 16  8  |  4 13  | 11 14  | 10 19  | 18 20  |
| 17  1  |  6  5  | 15  7  |  2  9  | 16 14  | 13  4  |  8  3  | 12 19  | 20 18  | 11 10  |
---------------------------------------------------------------------------------------------------------------
|  4  6  | 19 20  | 14 16  |  7  2  |  1 12  |  9 17  | 11  8  |  5  3  | 13 15  | 10 18  |
|  1 12  |  2  6  |  3 11  |  9 17  | 19 16  |  4  5  |  7 10  | 14 13  | 18 20  |  8 15  |
| 16 17  | 14  4  | 20 19  |  3  8  |  6  2  | 12 13  | 18  5  | 15 10  | 11  7  |  9  1  |
| 10 19  | 16 15  |  4  2  | 12 11  | 13  7  | 20 14  |  1 17  |  8 18  |  9  5  |  6  3  |
| 18  5  | 13 17  |  7 15  | 14 19  |  9  3  |  2 16  | 20 12  |  1  6  |  8 10  |  4 11  |
| 14  7  | 10 11  |  1  5  |  6 16  | 20  8  | 18 19  |  2 15  |  9  4  |  3 17  | 12 13  |
|  8 15  |  1  9  |  6 18  | 13  4  | 14 17  |  7 10  |  3 19  | 16 11  | 12  2  | 20  5  |
|  9 11  | 12  7  | 13 10  | 15  5  | 18  4  |  8  3  |  6 14  | 17 20  | 16  1  | 19  2  |
| 20  2  |  5  3  |  8  9  |  1 18  | 15 10  |  6 11  | 13  4  |  7 12  | 19 14  | 16 17  |
| 13  3  |  8 18  | 12 17  | 20 10  | 11  5  | 15  1  | 16  9  | 19  2  |  4  6  |  7 14  |
---------------------------------------------------------------------------------------------------------------
