---------------------------------------------------------------------------------------------------------------
| 15 20  | 12  5  | 18  2  |  9  1  | 10 16  |  6 11  | 19  7  | 17 13  |  8  3  |  4 14  |
| 12 16  |  6  2  | 10  8  | 17 20  | 15 11  |  3 18  |  1 14  |  9 19  |  5  4  | 13  7  |
|  9  7  |  3 10  | 12 14  |  5 16  |  1 13  |  2 20  | 11 17  |  6  4  | 19 18  | 15  8  |
|  4  8  | 14 20  | 11  5  | 12 18  | 17  3  | 10 13  |  2 15  |  7 16  |  1  9  | 19  6  |
| 18 19  | 16 11  |  3 17  | 14 10  | 12  9  | 15  1  | 13  4  |  8  5  |  6  7  |  2 20  |
| 14  2  | 15  7  |  1  6  |  3 11  | 19  5  | 12  4  |  9  8  | 10 18  | 13 20  | 16 17  |
| 11 10  | 19  4  | 20  7  |  2 13  |  8  6  |  9 17  |  3 12  |  1 14  | 16 15  |  5 18  |
| 13  6  | 18  8  | 19  4  |  7 15  | 14  2  |  5 16  | 10 20  | 11  3  | 12 17  |  9  1  |
|  3  1  | 13 17  | 15  9  |  4  6  | 18  7  | 19  8  |  5 16  | 12 20  | 14  2  | 10 11  |
|  5 17  |  9  1  | 13 16  |  8 19  | 20  4  | 14  7  |  6 18  |  2 15  | 11 10  | 12  3  |
---------------------------------------------------------------------------------------------------------------
| 20  3  |  5  6  |  9  1  | 10 12  | 13 19  |  7 15  | 14  2  | 16 17  | 18  8  | 11  4  |
|  2 15  |  1 14  | 17 12  | 13  9  | 16 20  |  4  6  |  8  3  | 19 11  |  7  5  | 18 10  |
|  7  9  |  4 15  |  6  3  | 19  5  |  2 14  | 11 12  | 16 10  | 18  8  | 17  1  | 20 13  |
|  8 11  |  2 13  |  5 15  | 16 17  |  4 12  | 18 10  |  7  9  |  3  1  | 20 14  |  6 19  |
| 16 18  | 11  3  |  2 13  | 20 14  |  7 17  |  1  5  |  4  6  | 15 10  |  9 19  |  8 12  |
|  6  5  |  8 16  | 14 11  | 15  3  |  9 10  | 13 19  | 18  1  | 20  7  |  4 12  | 17  2  |
| 17 13  |  7 19  |  8 18  |  6  2  |  3 15  | 16 14  | 20  5  |  4 12  | 10 11  |  1  9  |
|  1  4  | 10  9  | 16 20  | 18  7  | 11  8  | 17  2  | 12 19  | 14  6  | 15 13  |  3  5  |
| 19 14  | 17 12  |  4 10  |  1  8  |  5 18  | 20  9  | 15 11  | 13  2  |  3  6  |  7 16  |
| 10 12  | 20 18  |  7 19  | 11  4  |  6  1  |  8  3  | 17 13  |  5  9  |  2 16  | 14 15  |
---------------------------------------------------------------------------------------------------------------
