---------------------------------------------------------------------------------------------------------------
|  2 15  |  6  1  |  8 17  | 16 10  | 12  9  | 14  5  | 20 11  |  7 18  |  4  3  | 13 19  |
|  4  5  | 16 17  |  1 20  | 12  6  | 10  2  |  3  7  |  8 19  | 11 15  |  9 13  | 18 14  |
| 17 18  |  2  9  |  5 14  |  1 20  | 13  8  |  6 11  |  4 10  | 16 12  | 15 19  |  7  3  |
|  7 13  |  4 18  |  2 10  |  8 19  | 16 20  |  1 15  |  3 12  |  9 14  | 11 17  |  5  6  |
|  8 20  | 15 14  | 13 16  | 17  5  |  3  7  | 10  9  |  6 18  |  2 19  | 12  1  | 11  4  |
|  1  9  | 20 12  |  7  3  | 13 11  | 17 14  |  2 19  | 16  5  | 10  4  | 18  6  | 15  8  |
| 16 14  |  8  5  |  4 18  |  9  7  | 11 19  | 12 20  | 15 13  |  3  6  | 10  2  |  1 17  |
| 11  3  | 19 13  | 15  6  |  2 18  |  5  4  | 17 16  |  7  9  | 20  1  | 14  8  | 12 10  |
|  6 10  | 11  7  | 12 19  |  3 14  | 18 15  | 13  4  |  2  1  |  8 17  | 20  5  |  9 16  |
| 12 19  |  3 10  | 11  9  |  4 15  |  1  6  | 18  8  | 17 14  | 13  5  |  7 16  | 20  2  |
---------------------------------------------------------------------------------------------------------------
| 18  2  |  7 16  |  3 11  | 15 17  |  8  5  |  4 13  | 14  6  | 19  9  |  1 12  | 10 20  |
| 13  4  |  1  2  | 16  8  | 20  9  | 19 18  | 15 14  | 12 17  |  6 10  |  5  7  |  3 11  |
|  9 11  | 13 20  |  6 15  | 19  1  | 14 12  |  8  3  | 10  7  | 18 16  | 17  4  |  2  5  |
| 10  7  | 18  6  | 17 13  |  5 16  | 20  1  | 11  2  |  9 15  |  4  8  |  3 14  | 19 12  |
| 19  8  |  5  4  | 14  2  |  7 13  |  6 10  | 20 18  |  1  3  | 12 11  | 16  9  | 17 15  |
|  3 16  | 12  8  | 18  4  | 11  2  | 15 17  |  9  6  | 19 20  |  5  7  | 13 10  | 14  1  |
| 20 12  |  9 11  | 19  1  | 10  3  |  2 16  |  7 17  |  5  8  | 14 13  |  6 15  |  4 18  |
| 15 17  | 14 19  |  9 12  | 18  4  |  7  3  |  5 10  | 11 16  |  1  2  |  8 20  |  6 13  |
| 14  1  | 10 15  | 20  5  |  6  8  |  9 11  | 19 12  | 13  4  | 17  3  |  2 18  | 16  7  |
|  5  6  | 17  3  | 10  7  | 14 12  |  4 13  | 16  1  | 18  2  | 15 20  | 19 11  |  8  9  |
---------------------------------------------------------------------------------------------------------------
