---------------------------------------------------------------------------------------------------------------
|  4  9  | 18 13  | 11 10  |  8 19  |  1  6  | 16 14  | 20 17  | 15  3  |  5  2  | 12  7  |
|  1  7  | 12 14  | 13  9  |  2 16  | 19 11  |  8 15  |  3 10  |  4 17  | 18 20  |  6  5  |
| 18 17  |  4 15  | 12  5  | 13 10  | 14  7  | 19  2  |  1  6  | 20 11  |  8 16  |  3  9  |
| 12  3  |  9  2  | 18  4  | 15  7  | 10 13  |  6 20  | 11 16  |  5 14  | 17 19  |  1  8  |
|  5  6  | 16 11  |  8 19  | 18  4  | 12  9  | 13  1  | 14 15  |  7  2  |  3 10  | 20 17  |
| 14 20  |  7 10  |  2  6  | 12 11  |  4  8  | 17  3  | 13  5  | 16 18  |  1  9  | 19 15  |
| 16  2  | 20 17  |  7 14  |  5  6  | 18  3  | 11 12  | 19  9  |  1  8  |  4 15  | 13 10  |
| 15 10  |  6  1  | 17 20  |  9  3  |  2 16  | 18  5  | 12  8  | 13 19  | 11  7  |  4 14  |
| 19 13  |  3  8  | 15  1  | 14 20  | 17  5  |  7  4  | 18  2  |  9 10  |  6 12  | 11 16  |
|  8 11  |  5 19  |  3 16  |  1 17  | 20 15  | 10  9  |  4  7  | 12  6  | 13 14  | 18  2  |
---------------------------------------------------------------------------------------------------------------
|  7  8  | 15 18  |  4 17  |  6 14  |  5 12  |  2 11  | 10 19  |  3 16  | 20  1  |  9 13  |
|  3 12  | 14  5  |  6 15  | 20 18  |  7  2  |  4  8  | 17 11  | 19  9  | 16 13  | 10  1  |
|  2 15  | 19  7  | 14  3  | 16  9  |  6 10  |  5 13  |  8  1  | 11 20  | 12  4  | 17 18  |
|  9 14  | 10  6  | 16  7  | 19 15  | 11  1  | 20 17  |  5 13  | 18  4  |  2  3  |  8 12  |
| 13  4  |  2 20  |  5 18  |  3  1  | 15 14  |  9 19  |  6 12  | 17  7  | 10  8  | 16 11  |
| 10  5  |  8  3  | 20 13  |  7 12  |  9 17  |  1 16  |  2 18  |  6 15  | 19 11  | 14  4  |
| 17  1  | 13 12  | 10  2  | 11  8  |  3 19  | 15  6  | 16  4  | 14  5  |  9 18  |  7 20  |
| 20 19  | 11  4  |  1  8  | 10  5  | 16 18  | 12  7  |  9  3  |  2 13  | 14 17  | 15  6  |
|  6 16  |  1  9  | 19 11  | 17 13  |  8  4  | 14 18  |  7 20  | 10 12  | 15  5  |  2  3  |
| 11 18  | 17 16  |  9 12  |  4  2  | 13 20  |  3 10  | 15 14  |  8  1  |  7  6  |  5 19  |
---------------------------------------------------------------------------------------------------------------
