---------------------------------------------------------------------------------------------------------------
| 11 14  |  6  2  |  3  4  | 12 16  | 15 10  | 17  9  | 18 20  |  8 19  |  7 13  |  5  1  |
|  6  1  | 14 20  |  2 15  | 11 18  |  9 12  |  3  5  | 10  4  |  7 13  | 17 16  |  8 19  |
|  7 10  | 11 16  |  9 14  |  2  3  | 13  1  | 18  8  |  5  6  | 20 12  | 19  4  | 15 17  |
| 18  5  | 10 17  |  6 16  | 14  4  |  2 19  |  1 12  |  3  8  | 15  9  | 11 20  | 13  7  |
| 16 17  | 18  9  | 20 10  |  6  7  | 14  3  |  2  4  | 19 13  |  1  5  |  8 15  | 11 12  |
|  3 19  |  5 12  | 17 18  | 10 20  | 16  8  | 13 15  |  7  1  |  6 11  |  9 14  |  4  2  |
| 12  2  |  7  4  | 11 19  |  8 13  | 20  5  |  6 10  | 15 16  |  3 17  |  1 18  |  9 14  |
|  9  8  | 19  3  |  5 13  | 15  1  |  7  6  | 20 16  | 11 17  |  4 14  | 12  2  | 18 10  |
| 15 20  |  8 13  |  7  1  |  5  9  |  4 17  | 19 11  | 12 14  | 18  2  |  3 10  | 16  6  |
|  4 13  | 15  1  |  8 12  | 19 17  | 11 18  |  7 14  |  9  2  | 10 16  |  6  5  | 20  3  |
---------------------------------------------------------------------------------------------------------------
| 13  6  |  3  7  | 15 17  |  9 19  |  8 14  | 11  1  |  4  5  | 16 18  | 10 12  |  2 20  |
| 20 16  |  9  6  | 13  3  | 18  5  |  1  7  |  8  2  | 17 11  | 12 10  | 15 19  | 14  4  |
| 19 18  |  2  8  | 14 20  | 13 10  |  6  4  |  9 17  | 16  7  | 11  1  |  5  3  | 12 15  |
| 10 15  |  4 11  | 12  5  |  3 14  | 19  2  | 16  6  |  8  9  | 17 20  | 18  7  |  1 13  |
|  2 11  | 20 19  |  1  6  |  4 15  |  3  9  | 10 18  | 14 12  |  5  8  | 13 17  |  7 16  |
|  8  4  | 13  5  | 18  2  |  7 12  | 10 20  | 15 19  |  1  3  | 14  6  | 16 11  | 17  9  |
| 17 12  | 16 15  | 19  8  | 20 11  | 18 13  |  4  3  |  2 10  |  9  7  | 14  1  |  6  5  |
| 14  7  | 12 18  |  4 11  |  1  6  | 17 16  |  5 20  | 13 15  | 19  3  |  2  9  | 10  8  |
|  1  3  | 17 14  | 10  9  | 16  2  |  5 15  | 12  7  |  6 18  | 13  4  | 20  8  | 19 11  |
|  5  9  |  1 10  | 16  7  | 17  8  | 12 11  | 14 13  | 20 19  |  2 15  |  4  6  |  3 18  |
---------------------------------------------------------------------------------------------------------------
