---------------------------------------------------------------------------------------------------------------
|  7  9  |  5  3  | 19 18  | 10 17  | 13  1  |  6 20  |  8 12  | 11 15  |  4 14  | 16  2  |
| 12 16  | 18 11  |  8  1  | 19 13  | 10  3  | 15  9  | 20  6  | 17  4  |  7  2  | 14  5  |
| 13 14  | 16  2  |  5 10  | 12  4  | 17 19  |  3  7  | 11  9  |  6 20  |  8  1  | 15 18  |
|  2 18  | 13  8  | 12 20  |  5  1  | 11  7  | 17 14  |  3 10  | 19 16  |  6 15  |  9  4  |
|  1 10  | 15 17  | 16 14  | 18  8  |  6  4  | 13 19  |  7  5  |  9  2  | 20 11  | 12  3  |
|  5  8  |  7 19  | 13 15  | 20  3  | 18  2  | 11 12  | 14  4  | 10  1  |  9 16  |  6 17  |
| 17  3  |  9 10  |  2  7  | 14  6  | 12 16  | 18  4  | 15  1  |  8  5  | 13 19  | 11 20  |
|  4 11  |  1 12  |  3  6  | 16 15  | 20  9  | 10  2  | 19 17  |  7 14  | 18  5  | 13  8  |
| 19 20  |  4  6  |  9 11  |  2  7  | 15 14  |  8  5  | 18 16  |  3 13  | 17 12  |  1 10  |
|  6 15  | 20 14  | 17  4  | 11  9  |  5  8  |  1 16  | 13  2  | 12 18  |  3 10  | 19  7  |
---------------------------------------------------------------------------------------------------------------
|  3  6  | 12 16  | 14  8  | 17 20  |  1 11  | 19 10  |  2 15  |  4  7  |  5 13  | 18  9  |
| 14 17  | 10 15  | 18 19  |  1 12  |  4  6  | 16  8  |  9  7  |  5  3  | 11 20  |  2 13  |
| 16  1  | 14 13  |  4 17  |  9 19  |  2 20  |  5 11  |  6  3  | 18  8  | 12  7  | 10 15  |
|  8 12  |  3  5  | 15 16  |  6 10  | 19 17  |  2 18  |  4 20  | 13 11  | 14  9  |  7  1  |
| 15 13  |  2  7  | 20  3  |  8 16  | 14 12  |  4 17  | 10 11  |  1  9  | 19 18  |  5  6  |
| 11 19  | 17  4  | 10  5  | 15 14  |  7 13  |  9  6  |  1 18  | 20 12  |  2  3  |  8 16  |
|  9  5  | 11 18  |  6 13  |  4  2  | 16 15  |  7  3  | 17 19  | 14 10  |  1  8  | 20 12  |
| 18  2  | 19 20  |  7  9  |  3  5  |  8 10  | 14  1  | 12 13  | 15  6  | 16  4  | 17 11  |
| 20  7  |  6  9  |  1  2  | 13 11  |  3 18  | 12 15  |  5  8  | 16 19  | 10 17  |  4 14  |
| 10  4  |  8  1  | 11 12  |  7 18  |  9  5  | 20 13  | 16 14  |  2 17  | 15  6  |  3 19  |
---------------------------------------------------------------------------------------------------------------
