---------------------------------------------------------------------------------------------------------------
| 16  3  | 14  6  | 15 10  |  1  4  | 18 20  |  9 12  | 17  2  | 11 19  |  7  8  | 13  5  |
| 20  4  | 16  7  | 14  6  |  2  9  |  1 13  | 11 18  |  5 10  | 17 12  | 19 15  |  8  3  |
|  1 10  |  4  5  | 12 17  | 14 13  |  3  8  | 20  2  | 18 11  |  6  7  |  9 16  | 15 19  |
| 19  2  | 20 10  |  4 16  | 12 15  |  9 14  | 13  1  |  8  6  |  5  3  | 17 11  |  7 18  |
| 12 14  |  3  2  |  5 11  | 10 16  |  6 17  | 15  4  | 19  7  |  8  9  | 18 13  | 20  1  |
| 13 17  |  1 15  |  9  7  | 11  8  | 12  5  |  3 19  | 20 14  | 18  2  |  6 10  |  4 16  |
| 18  6  | 12 13  | 19  2  |  3  5  | 16 15  |  8  7  |  9  4  | 10 20  | 14  1  | 11 17  |
| 15  9  | 11  8  |  1 20  | 18  7  |  4 19  | 17  6  | 12  3  | 13 16  |  2  5  | 10 14  |
|  8  5  | 19  9  |  3 18  |  6 17  |  7 11  | 16 10  | 13 15  |  1 14  | 20  4  |  2 12  |
|  7 11  | 18 17  |  8 13  | 20 19  |  2 10  | 14  5  |  1 16  |  4 15  |  3 12  |  9  6  |
---------------------------------------------------------------------------------------------------------------
|  3  7  |  5 18  | 13  4  |  9  1  | 14  2  | 12 20  | 15  8  | 16 17  | 11  6  | 19 10  |
| 17 12  |  9  4  |  2 14  |  7 18  | 20  3  |  1 13  | 11  5  | 15  6  | 10 19  | 16  8  |
|  4  1  | 17 12  |  7  5  |  8 11  | 19  9  |  2 14  | 10 20  |  3 13  | 16 18  |  6 15  |
|  5  8  | 15  3  | 11 19  | 13  6  | 10 18  |  4 17  | 16  9  |  2  1  | 12 20  | 14  7  |
|  2 16  |  6 14  | 17  1  | 15  3  |  5  7  | 19 11  |  4 13  | 12 10  |  8  9  | 18 20  |
|  6 19  |  7  1  | 10 15  |  5 20  | 13 16  | 18  3  |  2 17  |  9  8  |  4 14  | 12 11  |
| 10 20  | 13 19  |  6  8  | 16 12  | 11  4  |  5  9  |  3  1  | 14 18  | 15  7  | 17  2  |
| 11 15  |  2 20  | 18  3  |  4 10  |  8 12  |  6 16  | 14 19  |  7  5  | 13 17  |  1  9  |
|  9 13  | 10 16  | 20 12  | 17 14  | 15  1  |  7  8  |  6 18  | 19 11  |  5  2  |  3  4  |
| 14 18  |  8 11  | 16  9  | 19  2  | 17  6  | 10 15  |  7 12  | 20  4  |  1  3  |  5 13  |
---------------------------------------------------------------------------------------------------------------
