---------------------------------------------------------------------------------------------------------------
| 18  3  | 20 13  | 10  4  | 15 14  | 12 11  |  8 19  |  1  7  | 17  2  |  9 16  |  6  5  |
|  1 10  |  2  6  | 12 11  |  4 17  | 20  5  | 18 13  | 15  8  |  7 19  |  3 14  | 16  9  |
| 14  7  |  3  4  |  6  5  |  9  2  | 17 10  | 12  1  | 13 20  |  8 16  | 19 11  | 15 18  |
|  6 11  | 15 18  |  3 19  |  8 13  |  2  4  |  9 10  | 12 16  |  1 20  |  7  5  | 14 17  |
|  4 12  |  7 14  | 18 15  |  6  3  | 13  9  | 20 16  | 17 19  |  5 11  |  8  1  | 10  2  |
| 15 20  | 11  5  | 16 14  | 19  1  |  7  3  |  2 17  |  9  4  | 12 10  | 18  6  |  8 13  |
| 19 16  |  9  1  | 20  2  | 18 11  |  6  8  |  7 15  | 10  5  | 13 14  | 17 12  |  3  4  |
|  9  8  | 19 16  |  7 17  | 12  5  |  1 15  |  4 14  |  2  3  |  6 18  | 10 13  | 20 11  |
| 17  2  |  8 12  |  1 13  | 10 16  | 18 14  |  5  3  | 11  6  |  9 15  | 20  4  |  7 19  |
|  5 13  | 17 10  |  9  8  | 20  7  | 19 16  |  6 11  | 14 18  |  3  4  | 15  2  | 12  1  |
---------------------------------------------------------------------------------------------------------------
| 11  5  | 16  2  | 15 18  | 13  9  | 10 19  | 14  4  |  8  1  | 20 12  |  6  7  | 17  3  |
| 10  9  | 14 20  |  5  3  | 17  8  | 11 13  | 19  7  |  6 15  |  4  1  | 12 18  |  2 16  |
|  8 18  | 10 11  | 19 12  |  1 20  |  5  6  |  3  2  | 16 17  | 15  7  |  4  9  | 13 14  |
|  2  4  |  5  8  | 11  6  |  7 15  |  9  1  | 17 18  | 20 12  | 14 13  | 16  3  | 19 10  |
| 12 17  |  4  7  | 14 10  | 11  6  | 15 18  |  1  9  | 19 13  | 16  3  |  2  8  |  5 20  |
| 20 15  | 12 17  |  8  1  |  5  4  |  3  2  | 16  6  | 18 14  | 19  9  | 13 10  | 11  7  |
|  7 14  | 18  9  | 13 16  |  3 19  |  8 12  | 15 20  |  4  2  | 10  5  | 11 17  |  1  6  |
|  3 19  |  6 15  |  4  9  | 16 10  | 14 17  | 13  5  |  7 11  |  2  8  |  1 20  | 18 12  |
| 13  6  |  1 19  |  2  7  | 14 18  | 16 20  | 10 12  |  3  9  | 11 17  |  5 15  |  4  8  |
| 16  1  | 13  3  | 17 20  |  2 12  |  4  7  | 11  8  |  5 10  | 18  6  | 14 19  |  9 15  |
---------------------------------------------------------------------------------------------------------------
