---------------------------------------------------------------------------------------------------------------
|  1 16  |  6  2  | 14  4  | 20 18  | 11 12  | 17  3  |  9  7  | 13 15  | 19  5  | 10  8  |
|  5  8  | 13 15  |  2 19  | 17  3  | 18 14  |  4 10  |  6 11  |  7 12  | 20 16  |  1  9  |
| 10 20  | 11  1  | 15 13  | 19  2  |  4  8  | 12  9  | 17 14  |  5  6  |  7 18  | 16  3  |
| 14 15  |  8 20  | 12 18  | 10 11  |  9 16  |  2 13  |  4  3  | 17 19  |  6  1  |  7  5  |
|  4 13  | 18 17  |  1 20  |  7  9  | 15  6  | 11 19  | 12  5  |  3 16  | 10  8  | 14  2  |
|  6  7  |  4  9  | 10  5  | 12  1  |  2 19  | 18 14  |  8 16  | 11 20  | 17  3  | 13 15  |
| 17  9  |  3 16  | 11  7  | 15 13  | 20 10  |  8  5  |  2 19  |  4  1  | 12 14  |  6 18  |
| 11  2  |  5  7  |  9 17  |  8 14  |  1  3  |  6 16  | 15 20  | 10 18  |  4 13  | 19 12  |
|  3 19  | 14 12  |  8 16  |  4  6  |  5 13  |  7  1  | 18 10  |  2  9  | 11 15  | 17 20  |
| 18 12  | 19 10  |  6  3  | 16  5  | 17  7  | 20 15  | 13  1  |  8 14  |  2  9  | 11  4  |
---------------------------------------------------------------------------------------------------------------
| 19  3  |  1  5  | 16  9  |  2 17  |  6 20  | 13 11  | 14  4  | 12  8  | 15 10  | 18  7  |
| 15  1  |  2 11  |  4 12  |  6  7  | 16 18  | 10 20  | 19 13  |  9  3  |  8 17  |  5 14  |
| 12 17  | 15 19  |  5 14  |  3  8  | 10  4  |  9  7  |  1 18  | 16 11  | 13  2  | 20  6  |
| 13  6  |  9 18  |  7 15  |  5 16  | 12 11  |  1  8  | 10  2  | 14 17  |  3 20  |  4 19  |
| 16 11  | 20  3  | 19  1  | 13 15  | 14  2  |  5  6  |  7  8  | 18 10  |  9  4  | 12 17  |
|  8 18  | 12 13  |  3 11  |  1 20  |  7 15  | 16  2  |  5 17  | 19  4  | 14  6  |  9 10  |
|  9  5  | 16  8  | 20 10  | 11 19  | 13 17  | 14  4  |  3  6  | 15  7  | 18 12  |  2  1  |
|  2 10  |  7 14  | 13  6  | 18  4  |  8  9  |  3 17  | 11 12  | 20  5  |  1 19  | 15 16  |
| 20 14  | 17  4  | 18  2  |  9 10  |  3  1  | 19 12  | 16 15  |  6 13  |  5  7  |  8 11  |
|  7  4  | 10  6  | 17  8  | 14 12  | 19  5  | 15 18  | 20  9  |  1  2  | 16 11  |  3 13  |
---------------------------------------------------------------------------------------------------------------
