---------------------------------------------------------------------------------------------------------------
|  8 13  | 10  3  | 15  6  | 14 19  | 20 12  |  2  7  | 18 16  | 11  1  | 17  4  |  9  5  |
| 10  2  | 13 17  |  4  8  | 20 12  | 14  5  | 16 18  |  3  1  |  7  9  | 11 19  |  6 15  |
|  5  3  | 20  6  | 18 16  |  1  2  |  7  4  | 12 14  | 17 19  | 10  8  | 15  9  | 11 13  |
| 17 19  | 12 14  | 10  3  |  7  4  |  9  2  | 13 20  | 11  5  | 16 15  |  6  8  |  1 18  |
| 12 14  |  2  7  | 20 11  | 16 13  | 19 15  |  9  4  |  6  8  |  5 17  | 18  1  |  3 10  |
| 11  9  |  8  5  | 12 14  | 10 17  | 13  3  | 15  1  |  7  4  |  6 18  | 16 20  |  2 19  |
| 20 18  | 15  9  |  7  1  |  8 11  | 17  6  | 19  3  | 12 13  |  4  2  | 10  5  | 16 14  |
| 15  6  | 11  1  | 17 13  | 18  9  | 10 16  |  5  8  | 14  2  | 12 19  |  7  3  |  4 20  |
|  4  7  | 18 16  |  9 19  |  5  3  | 11  1  | 17  6  | 15 10  | 13 20  |  2 14  |  8 12  |
|  1 16  |  4 19  |  5  2  |  6 15  |  8 18  | 11 10  | 20  9  |  3 14  | 12 13  | 17  7  |
---------------------------------------------------------------------------------------------------------------
| 14 11  |  7 15  | 19 12  |  9 10  |  3  8  |  1 16  |  4 17  |  2  5  | 13 18  | 20  6  |
|  3 12  | 16 20  | 14  7  | 11  1  | 15 10  |  8 19  | 13  6  | 17  4  |  5  2  | 18  9  |
| 16  5  |  1 11  |  2  4  | 12  7  |  6 20  |  3 15  | 10 14  | 18 13  |  9 17  | 19  8  |
|  7 10  |  6 12  | 16 17  | 15 20  |  2 14  |  4 13  |  9 18  | 19  3  |  8 11  |  5  1  |
|  9 20  | 17 13  | 11 10  |  2  6  |  1 19  | 18  5  | 16 15  |  8 12  |  3  7  | 14  4  |
| 13  1  | 14 10  |  3 20  |  4 18  |  5  9  |  6  2  |  8 11  | 15  7  | 19 16  | 12 17  |
| 19 15  |  5  2  | 13  9  | 17  8  | 18  7  | 14 12  |  1  3  | 20 16  |  4  6  | 10 11  |
| 18  4  |  9  8  |  6 15  |  3  5  | 16 13  | 10 17  | 19 20  |  1 11  | 14 12  |  7  2  |
|  6  8  |  3 18  |  1  5  | 19 14  |  4 17  |  7 11  |  2 12  |  9 10  | 20 15  | 13 16  |
|  2 17  | 19  4  |  8 18  | 13 16  | 12 11  | 20  9  |  5  7  | 14  6  |  1 10  | 15  3  |
---------------------------------------------------------------------------------------------------------------
