---------------------------------------------------------------------------------------------------------------
|  7  9  |  2 11  |  6  1  | 15  3  | 19  8  |  4 13  | 10 20  | 12 16  |  5 18  | 14 17  |
|  2  3  |  1 10  |  9  7  | 16  4  | 13 18  |  5 19  | 15 11  | 14  6  | 12 17  | 20  8  |
| 14 20  |  3  9  | 16 18  | 13  1  |  4 17  | 15 10  |  8  6  |  7 11  | 19  2  | 12  5  |
|  8 15  | 12 17  | 10 19  |  2  7  |  1 14  | 16  3  | 13  5  |  4 20  | 11  9  | 18  6  |
| 13 17  |  8  7  |  2  4  | 11 19  |  9 12  |  1 18  | 14 16  | 10  5  | 20  6  |  3 15  |
|  1  6  | 14  5  |  3 20  | 18  9  | 16 10  | 17 12  | 19  2  | 13  8  |  4 15  | 11  7  |
| 11  4  |  6 13  | 14  8  | 20 17  |  3  5  |  9  7  |  1 12  | 15 18  | 16 10  |  2 19  |
|  5 10  | 15 18  | 17 12  |  6  8  |  7  2  | 20 11  |  4  3  |  1 19  | 14 13  | 16  9  |
| 12 16  | 19 20  | 13 15  | 14  5  | 11  6  |  8  2  | 18  7  | 17  9  |  1  3  |  4 10  |
| 18 19  | 16  4  | 11  5  | 12 10  | 15 20  |  6 14  |  9 17  |  3  2  |  7  8  | 13  1  |
---------------------------------------------------------------------------------------------------------------
| 16  5  | 10  8  |  1  3  | 17 13  | 18 15  | 14  6  |  2  4  | 11 12  |  9  7  | 19 20  |
| 20  2  |  7  3  | 12 16  |  9  6  |  5  4  | 10 15  | 11  8  | 19 14  | 18  1  | 17 13  |
|  4 14  | 20  2  | 15 11  | 19 16  | 12  7  | 18  8  | 17 10  |  6  1  | 13  5  |  9  3  |
| 17 18  |  9  6  | 20 14  |  4 15  | 10 16  | 13  5  | 12  1  |  8  3  |  2 19  |  7 11  |
|  9  7  | 17 16  |  5  2  |  3 12  | 20 19  | 11  1  |  6 13  | 18 10  |  8  4  | 15 14  |
| 10  1  | 18 14  |  8 17  |  5 20  |  2  9  |  3  4  |  7 19  | 16 13  | 15 11  |  6 12  |
|  3 13  |  4 19  |  7  6  |  1 14  | 17 11  |  2 20  |  5 18  |  9 15  | 10 12  |  8 16  |
|  6  8  |  5 12  | 18  9  | 10 11  | 14 13  | 19 17  | 20 15  |  2  7  |  3 16  |  1  4  |
| 15 12  | 11  1  | 19 13  |  8 18  |  6  3  |  7  9  | 16 14  |  5  4  | 17 20  | 10  2  |
| 19 11  | 13 15  |  4 10  |  7  2  |  8  1  | 12 16  |  3  9  | 20 17  |  6 14  |  5 18  |
---------------------------------------------------------------------------------------------------------------
