---------------------------------------------------------------------------------------------------------------
|  2 20  | 15 19  | 14 17  |  1  8  | 16 13  | 10  7  |  5 18  |  9  6  |  4 11  | 12  3  |
|  4 18  |  5  2  |  9 19  | 14 17  | 11  6  | 15  8  | 12  1  |  3 13  |  7 20  | 16 10  |
| 10  5  | 12  9  |  8 15  | 20  7  | 14  1  |  6 11  |  3 19  | 18  4  | 17 16  |  2 13  |
| 17  9  | 11 13  |  2  5  | 19 16  |  7 18  |  1 20  | 15  6  |  8 12  | 10  3  |  4 14  |
|  8 19  | 20 10  | 13 12  |  5  2  |  3 17  | 14 16  | 11  4  | 15  7  |  6 18  |  1  9  |
|  7 12  |  4  1  | 10 11  |  9 18  | 19  5  | 13  3  |  8 14  | 20 16  | 15  2  |  6 17  |
| 16 11  | 18  7  | 20  1  |  6  3  | 15  8  |  4 17  |  2 13  | 14 10  | 12  9  | 19  5  |
|  3 13  | 16 14  |  7  6  | 15  4  | 20  2  | 19 12  |  9 10  |  1 17  |  8  5  | 18 11  |
| 15 14  |  8  6  |  3 18  | 13 10  | 12  4  |  2  9  | 16 17  | 11  5  |  1 19  | 20  7  |
|  6  1  | 17  3  | 16  4  | 12 11  | 10  9  |  5 18  | 20  7  |  2 19  | 13 14  | 15  8  |
---------------------------------------------------------------------------------------------------------------
| 13 10  |  6  8  | 12  2  |  3  9  |  4  7  | 18 19  | 17 16  |  5 20  | 11  1  | 14 15  |
| 19  8  |  1  4  | 18  9  |  2  6  | 17  3  | 11 14  |  7  5  | 16 15  | 20 10  | 13 12  |
| 12  3  |  9  5  | 19  8  | 17  1  |  6 10  | 20  4  | 13  2  |  7 18  | 14 15  | 11 16  |
| 14  4  |  2 15  |  6 16  | 18 12  |  9 19  | 17 13  |  1 11  | 10  3  |  5  8  |  7 20  |
| 18  6  |  3 16  |  1 14  | 10 19  | 13 15  |  7  5  |  4 20  | 17 11  |  9 12  |  8  2  |
| 20 16  | 10 12  |  4  3  |  8 14  |  5 11  |  9  2  | 18 15  | 13  1  | 19  7  | 17  6  |
|  9 17  | 19 20  | 15  7  | 11  5  | 18 14  |  3  1  |  6  8  | 12  2  | 16 13  | 10  4  |
|  1  2  | 13 17  | 11 10  |  7 15  |  8 20  | 16  6  | 14 12  | 19  9  |  3  4  |  5 18  |
| 11  7  | 14 18  |  5 20  |  4 13  |  1 16  | 12 15  | 10  3  |  6  8  |  2 17  |  9 19  |
|  5 15  |  7 11  | 17 13  | 16 20  |  2 12  |  8 10  | 19  9  |  4 14  | 18  6  |  3  1  |
---------------------------------------------------------------------------------------------------------------
