---------------------------------------------------------------------------------------------------------------
| 14  1  | 17  8  | 11 16  | 12 15  | 18  9  |  4  2  |  3 13  | 19  7  | 10  5  |  6 20  |
| 18 12  |  4  1  | 19  6  | 20  9  | 14 17  |  8 11  |  7  2  | 13  3  | 15 16  |  5 10  |
|  2 10  | 11 14  | 12 13  |  6 19  |  7  5  |  9 15  | 20  8  |  4 17  |  3 18  | 16  1  |
| 16 20  |  2 13  | 10  9  |  8  7  | 12 15  | 17 18  |  1 14  |  5 11  | 19  6  |  3  4  |
|  9  7  | 20 18  | 17  3  | 13  2  |  8 10  |  6 14  | 11  5  | 16 12  |  4  1  | 19 15  |
| 15  3  | 16  9  | 18  8  | 17 14  |  2  6  | 10  5  | 19  4  |  1 20  | 13  7  | 11 12  |
| 17 13  |  3 12  | 20 14  | 18  5  | 11  4  |  1 19  |  6 16  | 15 10  |  8  9  |  7  2  |
|  6 11  | 15  5  |  1  7  | 16  4  | 20 19  | 12  3  | 10  9  |  8 14  |  2 17  | 18 13  |
|  5  4  |  7 19  | 15  2  | 11 10  |  1  3  | 16 13  | 17 18  |  6  9  | 12 20  |  8 14  |
|  8 19  | 10  6  |  5  4  |  3  1  | 16 13  | 20  7  | 15 12  |  2 18  | 11 14  | 17  9  |
---------------------------------------------------------------------------------------------------------------
| 20 14  |  5 15  | 13 18  | 10  6  | 17  1  |  7  8  |  4  3  |  9  2  | 16 11  | 12 19  |
| 10  9  | 14 11  |  4  5  |  1 12  | 15 20  | 18 17  | 13  6  |  3  8  |  7 19  |  2 16  |
| 19  2  |  9 20  | 14 15  |  5 17  |  4 12  | 13 10  | 18  7  | 11 16  |  6  3  |  1  8  |
| 12  5  |  1  3  |  7 10  |  4 11  | 19 16  |  2 20  |  9 17  | 18 13  | 14  8  | 15  6  |
|  4 15  |  6  2  |  3 11  |  9 20  | 10 14  | 19 16  |  8  1  | 17  5  | 18 12  | 13  7  |
| 11 16  | 12  4  |  2 20  | 19 18  |  9  8  | 15  1  |  5 10  |  7  6  | 17 13  | 14  3  |
|  3 18  |  8 17  |  9 12  |  2 13  |  6  7  |  5  4  | 16 19  | 14  1  | 20 15  | 10 11  |
| 13 17  | 19 10  |  8  1  |  7 16  |  5 11  |  3  6  | 14 15  | 12  4  |  9  2  | 20 18  |
|  1  6  | 13  7  | 16 19  | 14  8  |  3 18  | 11 12  |  2 20  | 10 15  |  5  4  |  9 17  |
|  7  8  | 18 16  |  6 17  | 15  3  | 13  2  | 14  9  | 12 11  | 20 19  |  1 10  |  4  5  |
---------------------------------------------------------------------------------------------------------------
