---------------------------------------------------------------------------------------------------------------
| 18 16  |  1  9  |  6  7  | 19  3  | 15 12  | 10 11  |  5 13  | 17  4  | 20 14  |  2  8  |
| 13 17  |  5  2  |  9 20  | 10  6  | 11  7  | 18 12  |  8  3  | 14 15  |  4 19  | 16  1  |
|  2 10  | 11 20  |  1 18  | 12 17  | 19  9  | 13  8  |  4 14  |  5  3  |  6 16  | 15  7  |
|  1  5  | 18  6  | 15 13  | 16 20  |  2 17  | 19  9  | 12 11  | 10  7  |  3  8  |  4 14  |
|  6 19  | 12 13  |  2 11  |  7  4  | 10 16  |  5 14  | 15 20  |  8  9  |  1 18  |  3 17  |
| 12  3  | 10  8  |  5 19  | 18  1  |  4 14  | 15  7  |  9 17  | 11 16  |  2 13  |  6 20  |
| 20 11  |  3 15  | 17 10  |  5 14  |  8 13  |  4 16  |  7  1  |  6  2  |  9 12  | 19 18  |
| 15  7  | 17 16  |  4 14  |  9  8  |  5 18  | 20  3  |  6  2  | 19  1  | 11 10  | 13 12  |
|  8  9  | 14  4  | 12  3  | 11 15  | 20  1  |  6  2  | 16 19  | 13 18  |  7 17  | 10  5  |
| 14  4  |  7 19  |  8 16  | 13  2  |  6  3  |  1 17  | 10 18  | 12 20  | 15  5  | 11  9  |
---------------------------------------------------------------------------------------------------------------
|  4 12  | 13  3  | 11  8  |  1  9  | 17  6  | 16 18  | 14  7  | 15  5  | 19  2  | 20 10  |
|  9 13  | 19 11  | 14  2  | 20  7  | 12  4  | 17  6  |  1 16  | 18  8  | 10  3  |  5 15  |
|  5 15  |  8  7  | 13 17  |  4 12  |  3  2  | 14 20  | 19  6  | 16 10  | 18  1  |  9 11  |
|  3 14  |  9 10  |  7 15  |  8 13  | 16 20  | 12 19  | 18  5  |  2  6  | 17 11  |  1  4  |
| 17  1  |  2 12  | 19  6  | 14 11  |  9  8  |  7  4  | 20 10  |  3 13  |  5 15  | 18 16  |
|  7  6  | 15  5  | 16  1  |  2 19  | 18 11  |  8 10  | 17  4  | 20 14  | 13  9  | 12  3  |
| 19  2  |  4 14  |  3  5  | 15 18  |  1 10  |  9 13  | 11 12  |  7 17  | 16 20  |  8  6  |
| 11  8  | 20 18  | 10 12  |  6 16  |  7  5  |  2  1  |  3 15  |  9 19  | 14  4  | 17 13  |
| 16 20  |  6  1  | 18  9  | 17 10  | 13 15  |  3  5  |  2  8  |  4 11  | 12  7  | 14 19  |
| 10 18  | 16 17  | 20  4  |  3  5  | 14 19  | 11 15  | 13  9  |  1 12  |  8  6  |  7  2  |
---------------------------------------------------------------------------------------------------------------
