---------------------------------------------------------------------------------------------------------------
| 16  7  |  1 11  | 12 20  | 15  8  | 18 19  | 13  2  |  3  9  |  6 14  |  5  4  | 17 10  |
| 19  5  |  9 14  | 10 17  |  4 13  |  8  6  | 16 15  |  2 20  | 18 12  |  1  3  |  7 11  |
| 13  3  | 19  4  | 16  1  | 20 14  | 10  5  |  8 11  |  6 17  |  9  7  | 12 18  | 15  2  |
| 11 17  |  5  8  |  6 18  | 16  9  | 14 13  |  7 12  |  4 15  |  3 10  | 20  2  | 19  1  |
| 14  4  |  7 15  | 19  8  | 17 10  | 20  1  | 18  6  | 11 12  |  5  2  |  9 13  |  3 16  |
|  1  2  | 13 17  | 14  4  |  6 19  |  9 15  | 20  3  | 18  7  | 11  8  | 10 16  | 12  5  |
|  8  6  |  2 16  |  5 11  |  1  7  |  3 12  |  9 17  | 13 10  | 20 15  | 14 19  | 18  4  |
| 20 15  |  6 18  |  7  9  | 12  3  | 11  2  | 10  5  | 16  1  |  4 19  | 17  8  | 14 13  |
| 10  9  | 20 12  | 13  3  | 18  2  |  7 16  |  4 19  |  5 14  | 17  1  | 15 11  |  8  6  |
| 18 12  | 10  3  | 15  2  | 11  5  |  4 17  |  1 14  | 19  8  | 13 16  |  7  6  | 20  9  |
---------------------------------------------------------------------------------------------------------------
|  7  8  | 17  6  | 18  5  | 10 12  | 19  3  | 15 13  |  9  2  | 16 11  |  4 14  |  1 20  |
|  3  1  | 18  5  | 17 13  |  2  4  | 12 14  |  6  8  | 20 16  |  7  9  | 19 10  | 11 15  |
| 15 10  | 16 13  |  8  7  |  5 11  |  1  9  | 12 18  | 17  6  | 19  4  |  3 20  |  2 14  |
|  9 16  | 15  7  |  1  6  | 13 18  |  2 11  | 19 10  | 14  4  | 12 20  |  8 17  |  5  3  |
| 17 18  | 14 10  |  9 19  |  7  6  | 13  8  |  3 20  | 15 11  |  2  5  | 16  1  |  4 12  |
|  2 11  | 12 19  |  3 14  |  9  1  |  6 20  |  5  4  |  8 13  | 10 17  | 18 15  | 16  7  |
|  4 14  |  8  1  | 20 12  | 19 17  |  5 10  | 11 16  |  7  3  | 15  6  |  2  9  | 13 18  |
|  5 20  |  4  9  | 11 10  |  8 16  | 15 18  |  2  1  | 12 19  | 14  3  | 13  7  |  6 17  |
| 12 19  | 11 20  |  2 16  |  3 15  | 17  4  | 14  7  | 10 18  |  1 13  |  6  5  |  9  8  |
|  6 13  |  3  2  |  4 15  | 14 20  | 16  7  | 17  9  |  1  5  |  8 18  | 11 12  | 10 19  |
---------------------------------------------------------------------------------------------------------------
