---------------------------------------------------------------------------------------------------------------
| 16 13  | 19 18  |  8  1  | 10 14  |  4 12  | 17  9  |  5 15  |  3  7  |  2 20  |  6 11  |
|  5 11  | 16  3  | 19  2  |  9  7  | 10 14  | 12  8  |  1 13  | 15 17  |  6  4  | 20 18  |
| 12 14  | 13 11  | 18  6  |  2 16  |  9  8  | 10  5  | 20  3  |  4  1  | 17 15  |  7 19  |
| 19  9  | 12  2  |  3  7  | 15  5  | 16 17  | 14  4  | 10  8  |  6 20  | 11 18  |  1 13  |
|  3 15  |  5 14  | 16 11  | 12 19  | 13  1  |  7 20  | 17  6  |  2 18  | 10  8  |  9  4  |
|  6 10  | 17 15  |  5 13  | 18  3  | 11 20  |  1 16  |  4  7  |  8 14  |  9 19  |  2 12  |
|  7  8  | 10 20  | 14  4  | 13 17  | 19  3  | 18  6  |  2  9  |  5 11  |  1 12  | 15 16  |
|  2 17  |  6  8  | 12 20  |  4  1  |  5  7  |  3 15  | 18 11  |  9 19  | 16 13  | 10 14  |
| 18  4  |  7  1  | 15  9  | 11 20  |  2  6  | 13 19  | 14 12  | 16 10  |  5  3  | 17  8  |
| 20  1  |  4  9  | 17 10  |  8  6  | 18 15  | 11  2  | 16 19  | 12 13  | 14  7  |  5  3  |
---------------------------------------------------------------------------------------------------------------
|  8 20  | 14 12  |  7 19  |  6 10  |  3  5  | 16 11  |  9  4  |  1  2  | 18 17  | 13 15  |
|  4  3  |  8 16  | 10 14  |  7 15  |  6 13  |  5  1  | 19 20  | 18  9  | 12  2  | 11 17  |
|  1 18  | 15  4  | 13  8  | 19  2  |  7 10  |  9  3  |  6 17  | 11 12  | 20 16  | 14  5  |
|  9  5  |  1 13  |  4 16  | 20 12  | 15 11  | 19 14  |  3 10  | 17  8  |  7  6  | 18  2  |
| 10  7  |  3  6  |  9 12  | 14  4  |  8 18  | 20 17  | 15  2  | 19  5  | 13 11  | 16  1  |
| 17  2  | 11 19  | 20  3  |  5 13  | 14  4  | 15 18  |  7  1  | 10 16  |  8  9  | 12  6  |
| 14  6  |  9 17  |  2 18  | 16 11  |  1 19  |  4 13  | 12  5  |  7  3  | 15 10  |  8 20  |
| 11 19  | 18 10  |  6  5  |  1  9  | 17  2  |  8 12  | 13 16  | 20 15  |  3 14  |  4  7  |
| 13 12  |  2  7  |  1 15  | 17  8  | 20 16  |  6 10  | 11 18  | 14  4  | 19  5  |  3  9  |
| 15 16  | 20  5  | 11 17  |  3 18  | 12  9  |  2  7  |  8 14  | 13  6  |  4  1  | 19 10  |
---------------------------------------------------------------------------------------------------------------
