----------------------------------------------------------------------------------------------------
| 14  3  |  1 17  |  8 16  | 13  6  |  4  9  | 15 10  | 11  2  |  7 12  |  5 18  |
|  6  7  | 14  4  | 15 10  | 12  2  |  8 11  |  9 16  |  5 13  | 18 17  |  1  3  |
| 10 11  |  7  6  |  1 13  | 14  3  | 12 16  |  2  5  |  9 18  |  4  8  | 17 15  |
|  2  1  |  3 11  |  6 12  |  8 18  | 13  7  |  4 17  | 14 10  | 15  5  | 16  9  |
|  8 18  | 16 15  | 11  7  |  5  4  | 14 17  | 12  3  |  1  6  | 10  9  | 13  2  |
|  9  5  | 13 12  | 14  3  |  1 11  |  6 18  |  7  8  | 15 17  |  2 16  | 10  4  |
| 13 12  |  2  8  |  9 17  |  7 15  |  5 10  | 18 14  | 16  4  |  1  3  |  6 11  |
| 15 17  | 18 10  |  5  4  | 16  9  |  1  2  |  6 13  | 12  3  | 14 11  |  8  7  |
| 16  4  |  9  5  | 18  2  | 10 17  |  3 15  | 11  1  |  7  8  |  6 13  | 12 14  |
----------------------------------------------------------------------------------------------------
|  1 15  |  6  9  | 16 11  |  2 12  | 17  4  |  8  7  |  3 14  |  5 10  | 18 13  |
| 12  6  | 11 14  | 13 15  | 18 16  |  2  3  |  5  4  |  8  7  | 17  1  |  9 10  |
|  5  2  | 17  3  |  7  6  |  9 14  | 16  8  | 10 11  |  4  1  | 13 18  | 15 12  |
|  3 13  |  4 18  | 17 14  | 15  1  |  7  5  | 16  6  | 10 12  |  9  2  | 11  8  |
|  7  9  | 12  2  | 10 18  |  4  5  | 11  6  | 17 15  | 13 16  |  8 14  |  3  1  |
| 11 10  | 15  7  |  2  5  | 17  8  | 18  1  | 13 12  |  6  9  |  3  4  | 14 16  |
| 18 14  | 10  1  |  4  8  |  6 13  | 15 12  |  3  9  | 17 11  | 16  7  |  2  5  |
| 17 16  |  8 13  | 12  9  |  3  7  | 10 14  |  1 18  |  2  5  | 11 15  |  4  6  |
|  4  8  |  5 16  |  3  1  | 11 10  |  9 13  | 14  2  | 18 15  | 12  6  |  7 17  |
----------------------------------------------------------------------------------------------------
