----------------------------------------------------------------------------------------------------
| 13  5  |  2  6  | 16  9  | 14  8  | 11 10  | 15 18  | 12  1  |  4  7  | 17  3  |
|  3  9  | 11 16  |  8 13  |  7  5  |  4  1  | 14  6  | 10  2  | 12 17  | 18 15  |
|  7  2  | 10  4  | 15 18  | 16 12  | 14 17  | 13  5  |  8  6  |  9  3  | 11  1  |
| 10  1  |  5 18  |  2 12  | 15 11  |  9  7  | 17  4  | 14  3  |  6 13  |  8 16  |
| 16 11  |  7  8  | 10  5  | 18  2  |  3  6  |  9  1  |  4 17  | 14 15  | 13 12  |
| 18 14  |  3 13  | 11  7  | 10 17  | 15  5  |  8 12  |  9 16  |  1  2  |  6  4  |
| 15 17  |  1 14  |  3  6  |  9  4  |  8 12  |  7 10  | 13 18  | 11 16  |  2  5  |
|  6  4  | 15 12  |  1 17  | 13  3  |  2 18  | 11 16  |  7  5  | 10  8  |  9 14  |
|  8 12  |  9 17  | 14  4  |  6  1  | 13 16  |  3  2  | 15 11  | 18  5  |  7 10  |
----------------------------------------------------------------------------------------------------
| 17 16  | 13 10  | 18  3  |  5  6  |  7  4  | 12  9  |  1  8  |  2 14  | 15 11  |
| 14 18  |  8  3  |  7 16  | 12 15  |  6  2  | 10 17  | 11 13  |  5  4  |  1  9  |
|  2 10  | 14  5  | 17 15  |  4  7  | 18 13  | 16 11  |  6  9  |  3  1  | 12  8  |
|  4  6  | 18 11  | 12 10  |  3 13  |  5 15  |  1  8  | 16  7  | 17  9  | 14  2  |
|  9  3  |  4  7  |  5  8  |  2 16  |  1 14  |  6 13  | 17 12  | 15 11  | 10 18  |
| 11 15  |  6  1  |  9 14  |  8 10  | 12  3  |  5  7  |  2  4  | 13 18  | 16 17  |
| 12  8  | 17  2  |  4 11  |  1 14  | 16  9  | 18 15  |  5 10  |  7  6  |  3 13  |
|  1 13  | 16  9  |  6  2  | 17 18  | 10 11  |  4 14  |  3 15  |  8 12  |  5  7  |
|  5  7  | 12 15  | 13  1  | 11  9  | 17  8  |  2  3  | 18 14  | 16 10  |  4  6  |
----------------------------------------------------------------------------------------------------
