----------------------------------------------------------------------------------------------------
| 13  4  | 10 14  |  1 15  |  5  2  |  9  3  | 18  6  | 11  7  |  8 17  | 16 12  |
|  5 18  | 13  7  | 14  6  | 15 17  | 10 16  |  9  3  |  4  1  | 12 11  |  2  8  |
|  6 16  |  5  9  | 18 10  | 13  1  | 12 11  |  4 15  |  2  8  |  7 14  | 17  3  |
| 15  2  | 18 16  |  9 11  | 14  3  | 17  6  |  7  8  | 13 12  |  1  4  | 10  5  |
| 12  7  | 17  6  |  4  5  | 18  9  | 13  8  | 11  1  |  3 16  |  2 10  | 14 15  |
| 17 14  |  2  3  | 13 12  | 10  8  |  1  4  | 16  5  |  9 18  | 15  6  | 11  7  |
|  8  1  | 15 11  | 17  2  |  4  6  |  7  5  | 12 13  | 10 14  |  3 16  | 18  9  |
|  9 10  |  8 12  | 16  3  | 11  7  |  2 15  | 17 14  |  6  5  | 13 18  |  1  4  |
| 11  3  |  1  4  |  7  8  | 12 16  | 14 18  | 10  2  | 15 17  |  5  9  | 13  6  |
----------------------------------------------------------------------------------------------------
| 10 13  | 16 15  |  8  7  |  3 11  |  6 17  |  5  4  | 12  2  | 14  1  |  9 18  |
|  1  5  | 11 13  |  6 17  |  8 10  | 18 14  | 15  7  | 16  4  |  9 12  |  3  2  |
|  3  8  |  6  1  |  5 16  | 17 15  |  4 12  | 13 18  | 14  9  | 10  2  |  7 11  |
|  2  9  |  7  8  | 11  1  | 16 13  |  3 10  |  6 17  | 18 15  |  4  5  | 12 14  |
| 16 11  |  4  2  | 15 13  |  1 14  |  5  9  |  3 12  |  7 10  | 18  8  |  6 17  |
| 14 15  |  9 17  |  3 18  |  7 12  |  8  2  |  1 10  |  5  6  | 11 13  |  4 16  |
|  4  6  | 14  5  | 12  9  |  2 18  | 11  7  |  8 16  |  1 13  | 17  3  | 15 10  |
| 18 12  |  3 10  |  2  4  |  6  5  | 15 13  | 14  9  | 17 11  | 16  7  |  8  1  |
|  7 17  | 12 18  | 10 14  |  9  4  | 16  1  |  2 11  |  8  3  |  6 15  |  5 13  |
----------------------------------------------------------------------------------------------------
