----------------------------------------------------------------------------------------------------
| 17 14  | 16  9  |  6  5  | 15 10  |  4 11  |  3 12  |  8  7  | 13 18  |  1  2  |
|  7  4  |  5 13  |  3 16  |  9 17  | 15  1  | 11  8  | 18 10  | 14  2  | 12  6  |
| 16  8  |  4 17  | 12  2  | 11 18  | 10 14  |  9 13  |  6 15  |  3  1  |  5  7  |
|  2  1  |  3 14  |  9 13  | 16 12  | 17  6  | 15  4  |  5 11  |  8  7  | 18 10  |
| 10  9  |  1 11  |  4 14  | 13  3  | 12  5  |  7 18  | 17  2  | 15  6  |  8 16  |
| 18 12  | 15  8  | 11  1  | 14  5  | 16  7  |  6  2  |  9  3  |  4 10  | 13 17  |
| 15 11  | 18 10  | 17  8  |  6  7  |  3  2  |  5 14  |  1 13  | 12 16  |  4  9  |
|  3 13  |  7  6  | 15 10  |  2  4  |  8 18  | 17  1  | 12 16  |  5  9  | 14 11  |
|  5  6  | 12  2  | 18  7  |  1  8  | 13  9  | 10 16  | 14  4  | 11 17  |  3 15  |
----------------------------------------------------------------------------------------------------
| 14 15  |  8  4  |  1 12  |  7  6  |  5 17  | 16  3  | 13  9  |  2 11  | 10 18  |
| 12  3  | 10  7  | 16 18  |  8 14  |  6  4  |  1  9  |  2  5  | 17 15  | 11 13  |
|  9  5  |  6 12  |  2  4  | 10 16  | 18 15  |  8  7  | 11 14  |  1 13  | 17  3  |
|  4  2  | 17 16  | 13 15  | 18  9  | 11 10  | 14  5  |  3  1  |  6  8  |  7 12  |
| 13 16  |  9  5  | 14 17  |  4 15  |  1  3  |  2 11  |  7 18  | 10 12  |  6  8  |
|  1 17  | 13 18  |  5  9  | 12 11  |  7  8  |  4 10  | 15  6  | 16  3  |  2 14  |
|  8 10  | 14  3  |  7 11  |  5 13  |  2 12  | 18  6  | 16 17  |  9  4  | 15  1  |
| 11 18  |  2 15  | 10  6  |  3  1  |  9 13  | 12 17  |  4  8  |  7 14  | 16  5  |
|  6  7  | 11  1  |  8  3  | 17  2  | 14 16  | 13 15  | 10 12  | 18  5  |  9  4  |
----------------------------------------------------------------------------------------------------
