----------------------------------------------------------------------------------------------------
| 16  5  | 17  4  |  9  2  | 14 15  | 11  3  |  1 13  |  8 12  |  6 18  | 10  7  |
|  3 14  |  5 10  | 11  8  | 17  6  |  1 16  | 15  2  | 18 13  |  7  4  |  9 12  |
| 13  2  |  3  9  |  5  6  | 11  1  | 15 17  | 14  8  |  7 16  | 10 12  | 18  4  |
|  1 11  |  8  6  | 17 13  |  9  2  | 18  7  | 12  5  |  4 10  | 16 14  |  3 15  |
|  7 10  |  1  2  | 14  3  | 12  4  |  9  6  | 11 18  | 17 15  |  8  5  | 16 13  |
|  8 17  |  7 18  |  4 10  |  5 13  |  2 12  |  6 16  |  1  9  | 15  3  | 14 11  |
|  9 15  | 14 11  |  7 12  | 16 18  | 13  5  |  4 10  |  6  3  |  1 17  |  8  2  |
|  4  6  | 15 12  | 18 16  |  7  3  | 10  8  |  9 17  | 14  2  | 13 11  |  1  5  |
| 18 12  | 16 13  |  1 15  | 10  8  | 14  4  |  3  7  |  5 11  |  2  9  | 17  6  |
----------------------------------------------------------------------------------------------------
|  5  9  | 18 15  |  3 11  |  8 16  |  4 13  |  2  6  | 10  1  | 17  7  | 12 14  |
|  2  7  | 11  8  | 10 18  |  1 17  | 16  9  |  5 12  | 15  6  | 14 13  |  4  3  |
| 11 18  | 12  5  | 13 17  |  3 14  |  8  1  | 10  9  |  2  7  |  4  6  | 15 16  |
|  6  1  | 13  7  | 12  5  |  4 10  | 17 14  | 16  3  |  9  8  | 11 15  |  2 18  |
| 14  3  | 10 16  |  6  9  | 18  5  |  7 15  | 17  1  | 11  4  | 12  2  | 13  8  |
| 15 13  |  6  1  | 16  4  |  2 11  | 12 10  |  7 14  |  3 17  | 18  8  |  5  9  |
| 12 16  |  9 17  |  8 14  | 15  7  |  6  2  | 18  4  | 13  5  |  3 10  | 11  1  |
| 10  4  |  2  3  | 15  7  | 13 12  |  5 18  |  8 11  | 16 14  |  9  1  |  6 17  |
| 17  8  |  4 14  |  2  1  |  6  9  |  3 11  | 13 15  | 12 18  |  5 16  |  7 10  |
----------------------------------------------------------------------------------------------------
