----------------------------------------------------------------------------------------------------
|  8 13  |  5  3  | 16 12  |  6 10  |  1  7  | 17  4  |  9  2  | 18 15  | 11 14  |
| 16 12  |  6  4  |  9 18  | 11  8  | 14 13  |  3  7  | 17 15  |  2  1  | 10  5  |
|  4 14  | 13 11  |  1  2  |  9 17  | 10 12  |  6  8  |  7  3  | 16  5  | 18 15  |
| 18 10  |  8  2  |  6  5  |  4  3  | 11  9  | 12 15  | 14 13  |  7 17  | 16  1  |
| 15  7  | 12 14  | 13  8  |  5  1  |  6 17  | 10 16  | 18 11  |  9  4  |  2  3  |
|  3  1  | 18 15  |  7  4  | 12 16  |  5  8  | 13  2  | 10  6  | 11 14  | 17  9  |
|  5  2  |  1  9  |  3 17  | 13  7  | 15 18  | 11 14  | 12 16  | 10  6  |  4  8  |
|  6 17  |  7 10  | 14 11  |  2 15  | 16  4  |  9 18  |  5  1  |  3  8  | 12 13  |
| 11  9  | 17 16  | 10 15  | 14 18  |  2  3  |  5  1  |  4  8  | 12 13  |  7  6  |
----------------------------------------------------------------------------------------------------
| 12  8  | 14  7  | 17  9  |  3  4  | 13  5  |  2  6  | 16 10  |  1 11  | 15 18  |
| 10  6  |  2 12  |  5  1  | 18  9  |  7 15  | 16 13  | 11 17  |  8  3  | 14  4  |
| 13 11  |  3  8  | 18  7  |  1  2  |  9 16  | 14 17  |  6  4  | 15 10  |  5 12  |
|  7  3  | 15  5  | 12  6  |  8 11  |  4  2  |  1 10  | 13 14  | 17 18  |  9 16  |
| 14 15  | 16 13  |  8 10  |  7  6  | 18 11  |  4  9  |  1 12  |  5  2  |  3 17  |
|  1 16  | 10 17  | 11 14  | 15 12  |  8  6  | 18  5  |  3  9  |  4  7  | 13  2  |
| 17  4  | 11  1  | 15 13  | 16  5  | 12 10  |  8  3  |  2 18  | 14  9  |  6  7  |
|  2  5  |  9 18  |  4  3  | 10 13  | 17 14  | 15 12  |  8  7  |  6 16  |  1 11  |
|  9 18  |  4  6  |  2 16  | 17 14  |  3  1  |  7 11  | 15  5  | 13 12  |  8 10  |
----------------------------------------------------------------------------------------------------
