----------------------------------------------------------------------------------------------------
| 16 15  | 12 11  |  1  9  |  6 17  |  3  8  | 18 14  |  5  4  |  2 13  |  7 10  |
| 12  3  | 13 16  |  2  4  | 10  7  | 17  6  |  1  9  | 18 14  | 11  8  |  5 15  |
| 11  4  | 15 18  | 12  3  |  2  8  | 10  7  |  6  5  | 17 13  |  9 16  | 14  1  |
| 13  6  | 10  5  |  7 17  | 12  9  |  2  4  |  3 16  |  1  8  | 14 15  | 11 18  |
| 17  8  |  3  2  | 11  5  |  1 14  | 12 13  | 10  4  |  6 15  | 18  7  |  9 16  |
| 10  1  | 17  6  | 13 16  |  3  4  | 14 18  | 15  7  |  9 11  |  5 12  |  2  8  |
| 14 18  |  7  9  | 10 15  | 13 11  |  1  5  | 17  8  |  2 16  |  4  6  | 12  3  |
|  9  7  |  8 14  |  6 18  | 16  5  | 11 15  |  2 12  | 10  3  | 17  1  |  4 13  |
|  5  2  |  4  1  |  8 14  | 18 15  | 16  9  | 11 13  |  7 12  |  3 10  | 17  6  |
----------------------------------------------------------------------------------------------------
|  4 17  |  1 13  | 15 12  | 14  3  |  5 16  |  7  6  |  8  2  | 10 11  | 18  9  |
| 15 12  | 11 10  | 17  8  |  4  6  | 18  3  | 16  2  | 14  7  | 13  9  |  1  5  |
|  7 13  | 18 12  |  5 11  |  8 16  |  9 14  |  4  3  | 15 10  |  1 17  |  6  2  |
| 18  9  |  6  8  |  3  1  | 15 12  | 13 10  |  5 11  |  4 17  |  7  2  | 16 14  |
|  2 16  |  9  7  | 18 10  | 11 13  |  8  1  | 14 15  | 12  5  |  6  4  |  3 17  |
|  1 14  |  5  4  | 16 13  |  7 10  | 15  2  |  9 17  |  3  6  | 12 18  |  8 11  |
|  6 11  | 14 15  |  4  2  |  5  1  |  7 17  |  8 18  | 13  9  | 16  3  | 10 12  |
|  8  5  |  2  3  |  9  7  | 17 18  |  6 11  | 12 10  | 16  1  | 15 14  | 13  4  |
|  3 10  | 16 17  | 14  6  |  9  2  |  4 12  | 13  1  | 11 18  |  8  5  | 15  7  |
----------------------------------------------------------------------------------------------------
