----------------------------------------------------------------------------------------------------
|  9 15  | 18  3  | 11  1  | 12 10  |  2  6  |  8 17  | 13  7  |  5  4  | 16 14  |
|  8 16  | 15 10  |  6 17  |  1 11  | 18  4  | 14 13  | 12  3  |  7  9  |  2  5  |
| 13  6  |  4 12  | 18 10  | 14  7  | 15  3  |  2  9  |  1  5  | 17 16  | 11  8  |
|  4 10  |  8 13  |  9  3  |  2 16  | 11  1  |  7  5  | 17  6  | 12 14  | 15 18  |
|  2  7  |  1 11  |  8 13  |  4 18  | 10  5  | 12  3  | 16 14  |  6 15  | 17  9  |
| 12  3  |  9  6  |  4 15  |  8  5  | 17 14  | 16  1  |  2 10  | 18 11  | 13  7  |
|  1 11  |  7 16  |  5 14  | 13 17  |  8 12  | 10 18  |  9 15  |  2  3  |  6  4  |
| 17  5  | 14  2  |  7 16  |  3 15  | 13  9  |  4  6  | 18 11  | 10  8  | 12  1  |
| 14 18  | 17  5  |  2 12  |  9  6  | 16  7  | 11 15  |  8  4  | 13  1  | 10  3  |
----------------------------------------------------------------------------------------------------
|  3 17  | 16 15  | 12  2  |  7 14  |  6 11  | 13  8  |  4 18  |  1  5  |  9 10  |
| 16 13  |  2 17  | 10 18  | 11  8  | 12 15  |  9  4  |  5  1  |  3  7  | 14  6  |
|  7 12  | 11  8  |  1  4  | 16  2  | 14 18  |  6 10  |  3 17  |  9 13  |  5 15  |
|  6  9  |  3  4  | 17 11  | 15 13  |  7  2  |  5 12  | 10  8  | 14 18  |  1 16  |
| 15  8  | 13  1  |  3  7  | 18  9  |  5 10  | 17 11  | 14  2  | 16  6  |  4 12  |
|  5  2  | 10 14  | 16  9  |  6  1  |  4 13  | 18  7  | 15 12  |  8 17  |  3 11  |
| 11  1  | 12 18  | 13  5  | 17  4  |  9  8  |  3 14  |  6 16  | 15 10  |  7  2  |
| 10 14  |  6  7  | 15  8  |  5 12  |  3 17  |  1 16  | 11  9  |  4  2  | 18 13  |
| 18  4  |  5  9  | 14  6  | 10  3  |  1 16  | 15  2  |  7 13  | 11 12  |  8 17  |
----------------------------------------------------------------------------------------------------
