----------------------------------------------------------------------------------------------------
|  2  6  | 14 11  |  5  9  | 16 13  | 10  7  |  8 15  |  4 12  | 17 18  |  3  1  |
|  8 14  |  1 17  | 12 10  |  9 11  |  3  6  |  7  2  | 15 16  |  5 13  | 18  4  |
|  9 11  |  8 15  | 13 17  |  5 10  | 16  1  |  4 14  |  7 18  | 12  3  |  2  6  |
|  4 15  |  6  9  |  8 14  |  1 17  | 11 12  | 16 18  | 13  3  |  7  2  | 10  5  |
|  7  5  |  4 18  | 15  1  | 14 12  |  9  8  | 10  3  |  6  2  | 16 11  | 13 17  |
|  1 16  |  7 10  | 11 18  |  6  3  | 15  2  | 12 13  | 17  5  |  4 14  |  9  8  |
| 13 12  |  2  3  |  4  7  | 18 15  | 17 14  |  1  5  |  8  9  |  6 10  | 16 11  |
| 10  3  |  5 12  |  2 16  |  4  8  | 18 13  |  6 17  | 14 11  |  9  1  |  7 15  |
| 17 18  | 16 13  |  3  6  |  2  7  |  4  5  |  9 11  | 10  1  |  8 15  | 14 12  |
----------------------------------------------------------------------------------------------------
| 18  8  | 12  2  |  9 15  | 10 14  |  7 17  | 11  6  |  1 13  |  3  5  |  4 16  |
| 15 17  | 10  8  |  6  4  |  7  5  |  2 11  |  3  1  | 16 14  | 18  9  | 12 13  |
|  6 13  |  9  7  | 10  5  | 11  1  |  8 15  | 14 16  |  3  4  |  2 12  | 17 18  |
| 14 10  | 17  4  |  1 13  | 12  9  |  6 18  | 15  8  |  2  7  | 11 16  |  5  3  |
|  5  4  |  3  6  | 17 11  | 13 18  | 12 16  |  2  7  |  9 15  | 14  8  |  1 10  |
|  3  7  | 18 14  | 16  8  | 17  4  | 13  9  |  5 12  | 11 10  |  1  6  | 15  2  |
| 12  2  | 11 16  |  7  3  | 15  6  |  1 10  | 18  9  |  5 17  | 13  4  |  8 14  |
| 16  9  | 15  1  | 14 12  |  8  2  |  5  3  | 13  4  | 18  6  | 10 17  | 11  7  |
| 11  1  | 13  5  | 18  2  |  3 16  | 14  4  | 17 10  | 12  8  | 15  7  |  6  9  |
----------------------------------------------------------------------------------------------------
