----------------------------------------------------------------------------------------------------
| 11 14  |  9  4  |  1  2  |  5  8  | 16 18  | 17  6  | 13 15  |  7  3  | 12 10  |
|  4  1  | 13 17  |  6 16  |  2 11  | 10  3  |  5  7  | 12 14  | 15  8  |  9 18  |
| 13  2  | 11 10  |  5 14  |  1  9  |  6  8  |  4 15  | 17  7  | 18 12  |  3 16  |
|  8  6  |  2 16  | 13  3  | 17 10  | 15  7  |  1 12  | 11 18  |  4  9  | 14  5  |
| 17  5  | 12 15  | 10 11  | 13 16  |  2  9  | 14 18  |  3  4  |  6  1  |  7  8  |
|  9 10  | 14  8  | 12 17  | 18  7  | 11 13  |  3 16  |  1  6  |  5  2  | 15  4  |
| 15  7  |  1 18  |  8  4  | 12  3  | 17  5  | 10 13  |  9  2  | 14 16  |  6 11  |
| 18  3  |  6  7  |  9 15  |  4 14  |  1 12  | 11  8  | 16  5  | 17 10  |  2 13  |
| 16 12  |  3  5  |  7 18  |  6 15  | 14  4  |  9  2  |  8 10  | 11 13  | 17  1  |
----------------------------------------------------------------------------------------------------
| 14 17  | 16  2  | 11  1  |  9 12  |  4 10  | 18  5  | 15  8  |  3  7  | 13  6  |
|  5  9  |  8 13  | 14 12  | 11  2  |  7 16  | 15 17  |  4  1  | 10  6  | 18  3  |
|  1 13  | 17 14  |  2  7  | 15  4  |  8 11  |  6  3  |  5 16  |  9 18  | 10 12  |
| 12 16  | 10  1  | 17  9  | 14 13  |  3  6  |  8  4  | 18 11  |  2 15  |  5  7  |
|  2  8  |  5 12  | 16 10  |  3  1  | 18 15  |  7 11  |  6 17  | 13 14  |  4  9  |
|  3 18  | 15  6  |  4  5  | 16 17  | 13  2  | 12 10  |  7  9  |  8 11  |  1 14  |
|  6 15  |  4 11  |  3 13  |  7 18  |  5 14  | 16  9  | 10 12  |  1 17  |  8  2  |
| 10 11  |  7  3  | 18  6  |  8  5  |  9 17  |  2  1  | 14 13  | 12  4  | 16 15  |
|  7  4  | 18  9  | 15  8  | 10  6  | 12  1  | 13 14  |  2  3  | 16  5  | 11 17  |
----------------------------------------------------------------------------------------------------
