----------------------------------------------------------------------------------------------------
| 16 10  | 12 14  |  3  5  | 17 13  |  2 11  |  9  1  | 18  4  |  7  6  |  8 15  |
| 18  1  | 17  8  |  2 12  |  5  3  |  7  9  | 16 13  | 15 14  | 10 11  |  6  4  |
| 15 11  |  7  9  | 14  8  | 18  6  |  3 17  |  4 10  | 13  1  | 16 12  |  5  2  |
|  2 13  | 16  6  |  9  7  |  8 15  |  5 10  |  3 18  | 12 17  |  1  4  | 14 11  |
|  5  4  | 13 11  | 15  6  |  2  9  | 18  8  |  7 14  | 16 10  | 17  3  | 12  1  |
| 17  6  |  4  5  |  1 10  | 16 14  | 15 13  |  8 12  | 11  3  | 18  2  |  7  9  |
| 14  8  | 18  3  | 13 17  |  7 12  |  4  1  | 11 15  |  2  6  |  5  9  | 16 10  |
| 12  7  |  2 15  | 11  4  | 10  1  | 14 16  | 17  6  |  9  5  | 13  8  |  3 18  |
|  3  9  |  1 10  | 16 18  |  4 11  |  6 12  |  5  2  |  7  8  | 14 15  | 17 13  |
----------------------------------------------------------------------------------------------------
| 10  2  | 14 12  |  6 11  | 15  8  | 13  3  | 18  5  | 17  9  |  4 16  |  1  7  |
|  1 14  | 15  2  |  7 13  | 12 16  | 17  4  |  6  3  |  5 18  | 11 10  |  9  8  |
|  6 15  |  5 16  | 18 14  | 13  4  | 10  7  |  1 11  |  8 12  |  9 17  |  2  3  |
|  7  5  |  3  1  | 10 15  | 14 17  |  9  6  | 13  8  |  4 16  |  2 18  | 11 12  |
| 13  3  | 10 17  |  5  1  |  6 18  |  8 15  |  2  9  | 14 11  | 12  7  |  4 16  |
|  4 16  |  6 13  | 12  3  |  9  5  | 11 18  | 15  7  |  1  2  |  8 14  | 10 17  |
|  8 18  | 11  4  | 17  9  |  3  7  | 12  2  | 14 16  | 10 15  |  6  1  | 13  5  |
|  9 12  |  8  7  |  4 16  | 11  2  |  1 14  | 10 17  |  3 13  | 15  5  | 18  6  |
| 11 17  |  9 18  |  8  2  |  1 10  | 16  5  | 12  4  |  6  7  |  3 13  | 15 14  |
----------------------------------------------------------------------------------------------------
