----------------------------------------------------------------------------------------------------
| 11  7  |  1  9  |  3 17  | 16  2  | 13 12  |  5 18  | 14  6  |  4 15  |  8 10  |
|  4  6  | 12 18  |  8 10  | 17 13  |  7  1  | 15  3  | 16  9  |  5 14  | 11  2  |
| 13 14  |  4 15  |  6  9  |  3 10  |  2 11  | 12  1  |  5  7  | 16  8  | 18 17  |
|  9 16  |  7 10  |  2 14  |  8 11  | 17  4  |  6 13  |  1  3  | 18 12  | 15  5  |
| 12  5  | 11  2  |  7 15  |  4  9  | 10  8  | 17 14  | 13 18  |  1  6  |  3 16  |
| 17 10  |  6 13  |  4 12  | 14  7  | 18  5  | 16  2  | 15  8  | 11  3  |  1  9  |
|  3  2  |  5  8  | 13 11  |  1 18  | 16 15  |  7  9  | 12  4  | 10 17  |  6 14  |
|  8 15  | 14 16  | 18  1  |  6  5  |  9  3  |  4 11  | 17 10  |  7  2  | 12 13  |
| 18  1  |  3 17  | 16  5  | 15 12  | 14  6  | 10  8  | 11  2  |  9 13  |  4  7  |
----------------------------------------------------------------------------------------------------
| 10 11  | 16  3  |  9  7  |  2  6  |  4 17  | 13 12  |  8 14  | 15 18  |  5  1  |
| 14 18  | 10  4  | 15  3  |  7  1  |  6 16  |  9  5  |  2 12  | 13 11  | 17  8  |
|  6 17  | 18 11  | 10 16  | 13 14  |  1  7  |  8  4  |  9 15  | 12  5  |  2  3  |
| 15 13  | 17  6  | 12  8  |  9 16  | 11  2  | 18  7  |  3  5  | 14  1  | 10  4  |
|  5  3  |  9 14  | 17  4  | 18 15  | 12 13  |  2 10  |  6  1  |  8 16  |  7 11  |
| 16  9  |  2 12  | 11 18  | 10  8  |  5 14  |  1  6  |  7 17  |  3  4  | 13 15  |
|  7 12  |  8  5  |  1  2  | 11  4  | 15  9  |  3 16  | 18 13  | 17 10  | 14  6  |
|  1  8  | 13  7  |  5  6  | 12 17  |  3 10  | 14 15  |  4 11  |  2  9  | 16 18  |
|  2  4  | 15  1  | 14 13  |  5  3  |  8 18  | 11 17  | 10 16  |  6  7  |  9 12  |
----------------------------------------------------------------------------------------------------
