----------------------------------------------------------------------------------------------------
| 17 13  | 14  3  |  7 16  | 12 15  |  8  4  |  6  2  | 10 11  | 18  5  |  9  1  |
| 18  9  | 13  8  | 10 12  | 14 17  | 15  2  |  4  5  |  6  7  |  1 11  |  3 16  |
|  3 15  | 18 10  | 13  8  |  9  7  | 14 17  |  1 12  |  2  4  | 16  6  | 11  5  |
|  2  8  |  9 15  | 11 17  | 13  3  | 18  5  | 16 10  |  1 12  |  4  7  | 14  6  |
| 10 14  | 11  4  |  3  6  |  8  2  | 13  1  |  7 18  |  5 16  | 12  9  | 17 15  |
|  6  7  |  2 17  | 15  4  |  5  1  | 12 16  | 11 13  | 14  9  |  3 10  | 18  8  |
| 12 11  |  7  1  | 18  5  | 16  4  |  3  6  | 14  9  | 13 15  |  8 17  | 10  2  |
|  4  5  |  6 16  |  2  1  | 10 11  |  7  9  |  8 17  | 18  3  | 14 15  | 12 13  |
|  1 16  | 12  5  |  9 14  | 18  6  | 11 10  |  3 15  | 17  8  | 13  2  |  4  7  |
----------------------------------------------------------------------------------------------------
| 13  2  | 15  7  |  4  3  |  6  8  |  1 11  |  9 14  | 12 18  | 10 16  |  5 17  |
|  5  3  | 16 13  | 14  9  |  2 10  |  6 18  | 15  4  |  7  1  | 17 12  |  8 11  |
| 16 17  |  1  2  |  6 15  |  7  5  | 10  8  | 18 11  |  4 14  |  9  3  | 13 12  |
| 11 10  |  5  6  |  1  2  | 15 13  |  4 14  | 12  8  |  9 17  |  7 18  | 16  3  |
| 15  6  |  3 12  |  5 18  |  1 14  |  2 13  | 17 16  |  8 10  | 11  4  |  7  9  |
|  8 18  | 17 11  | 16 13  |  3 12  |  9  7  | 10  1  | 15  5  |  6 14  |  2  4  |
|  9  1  |  8 18  | 12 10  |  4 16  | 17  3  |  5  7  | 11  2  | 15 13  |  6 14  |
|  7  4  | 10 14  |  8 11  | 17  9  | 16 12  |  2  6  |  3 13  |  5  1  | 15 18  |
| 14 12  |  4  9  | 17  7  | 11 18  |  5 15  | 13  3  | 16  6  |  2  8  |  1 10  |
----------------------------------------------------------------------------------------------------
