----------------------------------------------------------------------------------------------------
|  7 18  |  3 14  | 16 13  |  6 10  |  9 11  |  5 15  | 17  2  |  4  1  | 12  8  |
| 14 17  |  9 12  | 18  5  | 11  1  | 16  6  | 10  2  |  3  4  |  7  8  | 15 13  |
| 11  3  |  6 17  | 12  2  |  4 15  |  1  5  |  7  8  | 18 14  | 10 13  | 16  9  |
| 13 12  |  8 11  | 17  1  |  9 18  | 15  2  |  6  3  | 16 10  |  5 14  |  7  4  |
|  8  1  |  7 18  | 11  6  | 17  5  | 13 10  |  9  4  | 15 12  |  3 16  | 14  2  |
|  4  2  |  1 13  |  7 15  |  8 16  | 12 18  | 11 14  |  6  5  |  9 17  | 10  3  |
| 15  6  | 10 16  |  8 14  | 13  7  |  4  3  | 18  1  | 11  9  |  2 12  |  5 17  |
|  5 10  | 15  4  |  3  9  |  2 14  |  8 17  | 12 16  |  7 13  | 11  6  | 18  1  |
|  9 16  |  2  5  | 10  4  | 12  3  | 14  7  | 17 13  |  8  1  | 15 18  |  6 11  |
----------------------------------------------------------------------------------------------------
|  1  5  | 11  8  |  9  3  | 10 17  |  7 15  |  4 18  | 12 16  | 14  2  | 13  6  |
| 10 14  | 12  2  |  5 17  |  3  9  | 11  8  | 13  7  |  1 18  |  6 15  |  4 16  |
| 16 13  | 18  6  | 15  8  |  7 11  |  5  4  |  3 12  |  9 17  |  1 10  |  2 14  |
|  6 11  | 14 10  | 13 18  |  5  8  |  3  9  | 15 17  |  2  7  | 16  4  |  1 12  |
|  2  8  | 13  9  |  1 16  | 15  4  | 18 12  | 14  5  | 10  6  | 17 11  |  3  7  |
| 17  7  |  4  1  |  2 10  | 14 13  |  6 16  |  8 11  |  5 15  | 12  3  |  9 18  |
| 12  4  |  5  3  |  6  7  |  1  2  | 17 14  | 16 10  | 13  8  | 18  9  | 11 15  |
|  3 15  | 16  7  | 14 12  | 18  6  |  2 13  |  1  9  |  4 11  |  8  5  | 17 10  |
| 18  9  | 17 15  |  4 11  | 16 12  | 10  1  |  2  6  | 14  3  | 13  7  |  8  5  |
----------------------------------------------------------------------------------------------------
