----------------------------------------------------------------------------------------------------
| 13  2  | 11 10  | 16  9  | 14 18  |  4  1  |  3 12  |  7 15  |  5  8  |  6 17  |
|  9 16  | 13  4  | 17  3  |  8  6  | 15 12  |  1  7  |  5 10  | 18 14  | 11  2  |
| 11 10  | 17 15  | 13  4  |  9  7  | 16  5  | 18 14  | 12  6  |  1  2  |  8  3  |
|  8  7  |  6  5  | 10 15  | 13  4  | 17  3  |  9 11  |  1  2  | 16 12  | 14 18  |
| 17 14  |  7  8  |  5  6  | 15 11  | 18  2  |  4 16  |  3 13  | 10  9  |  1 12  |
|  3  6  |  9 12  |  7 18  | 16  1  | 14 11  |  5  2  |  4  8  | 15 17  | 10 13  |
| 15 18  | 14  2  |  8  1  |  5 12  |  7  9  | 10 13  | 11 17  |  3  6  |  4 16  |
|  5  1  | 16 18  | 11 12  |  3  2  | 10  6  | 17  8  |  9 14  |  4 13  | 15  7  |
| 12  4  |  3  1  | 14  2  | 10 17  | 13  8  | 15  6  | 18 16  | 11  7  |  9  5  |
----------------------------------------------------------------------------------------------------
|  4 15  | 18  7  |  1 14  |  6 10  | 11 16  | 13  5  |  8 12  |  2  3  | 17  9  |
| 18  8  | 15  9  | 12 17  |  2  3  |  6 14  | 11  1  | 13  5  |  7  4  | 16 10  |
| 14 12  |  8  3  | 18  7  | 17  9  |  2 10  |  6  4  | 16  1  | 13 11  |  5 15  |
| 16 13  |  2 14  |  6  8  | 12  5  |  9  4  |  7 10  | 15 11  | 17 18  |  3  1  |
|  7  5  | 10 13  |  3 11  |  4 14  | 12 17  | 16 15  |  6 18  |  9  1  |  2  8  |
|  1  3  |  5 17  |  9 13  |  7 16  |  8 15  | 14 18  |  2  4  |  6 10  | 12 11  |
|  6 11  | 12 16  |  4  5  |  1 13  |  3  7  |  2 17  | 10  9  |  8 15  | 18 14  |
|  2  9  |  1  6  | 15 10  | 11  8  |  5 18  | 12  3  | 17  7  | 14 16  | 13  4  |
| 10 17  |  4 11  |  2 16  | 18 15  |  1 13  |  8  9  | 14  3  | 12  5  |  7  6  |
----------------------------------------------------------------------------------------------------
