----------------------------------------------------------------------------------------------------
| 15  4  | 16 17  |  1 18  |  9  7  |  2 12  |  3  5  |  8 13  | 11 10  | 14  6  |
|  2 16  | 14 18  | 17  6  |  5 15  | 10  3  | 11  7  |  9 12  |  8 13  |  1  4  |
| 17 11  |  8 15  | 16  5  |  1  4  |  6 18  | 10 12  |  3  7  |  9 14  | 13  2  |
|  3  6  | 11  5  | 15  8  | 17 16  | 13  9  | 18  4  | 10 14  |  2  1  | 12  7  |
| 18 12  | 10  7  | 14  3  |  2 13  |  5 17  | 15 16  |  1 11  |  6  4  |  9  8  |
|  7  8  |  3 12  |  2 10  | 18 14  | 15  1  |  9 13  |  4  6  | 16 17  | 11  5  |
|  5  9  |  6  4  | 11 13  | 10  8  | 14 16  |  1 17  | 18  2  |  7 12  | 15  3  |
| 14 10  |  1 13  | 12  9  |  6 11  |  7  4  |  2  8  | 16  5  | 15  3  | 17 18  |
|  1 13  |  2  9  |  4  7  |  3 12  |  8 11  | 14  6  | 17 15  | 18  5  | 16 10  |
----------------------------------------------------------------------------------------------------
| 13 17  |  5  3  | 10  2  |  8 18  | 16 15  |  7 14  | 11  9  | 12  6  |  4  1  |
|  4  1  | 12 10  |  3 15  |  7  2  |  9  6  | 13 11  | 14  8  | 17 18  |  5 16  |
| 12 14  | 13  1  |  9  4  | 11 17  | 18  8  |  6 10  |  2 16  |  5  7  |  3 15  |
|  9 18  | 17 11  | 13 12  |  4  6  |  1  2  | 16 15  |  5 10  |  3  8  |  7 14  |
|  6  7  |  4  8  |  5 11  | 12  9  |  3 14  | 17  2  | 15 18  |  1 16  | 10 13  |
|  8 15  |  9  2  |  7  1  | 16  3  | 17 10  |  5 18  | 13  4  | 14 11  |  6 12  |
| 16  5  | 15 14  | 18 17  | 13 10  | 12  7  |  8  1  |  6  3  |  4  9  |  2 11  |
| 10  2  |  7  6  |  8 16  | 14  1  | 11  5  |  4  3  | 12 17  | 13 15  | 18  9  |
| 11  3  | 18 16  |  6 14  | 15  5  |  4 13  | 12  9  |  7  1  | 10  2  |  8 17  |
----------------------------------------------------------------------------------------------------
