----------------------------------------------------------------------------------------------------
|  2 16  | 18  6  | 13 17  | 15  9  | 12 10  | 11  3  | 14  4  |  7  5  |  1  8  |
|  8 17  |  2  5  | 15  3  | 18  7  | 14 16  | 12 10  |  6 13  |  9  1  | 11  4  |
| 14  5  |  3  4  |  9 18  |  6 10  | 15 11  | 17 16  |  1  2  | 12  8  |  7 13  |
|  9  4  | 10  8  |  5  2  | 17 16  |  3 13  | 14  1  | 12  7  |  6 11  | 18 15  |
| 18  3  | 17  9  |  4 10  |  2  5  |  1  6  | 13  7  | 11  8  | 14 15  | 12 16  |
|  7  6  | 11 15  |  8 14  |  1 12  | 17  9  |  2 18  | 10 16  | 13  4  |  5  3  |
| 11 12  |  7 14  | 16  1  |  4 13  |  2  8  |  6  9  | 15  5  | 18  3  | 17 10  |
| 13  1  | 12 16  |  6  7  |  3 11  |  4  5  | 15  8  | 17 18  |  2 10  | 14  9  |
| 15 10  |  1 13  | 12 11  |  8 14  | 18  7  |  5  4  |  3  9  | 17 16  |  6  2  |
----------------------------------------------------------------------------------------------------
| 17  9  | 16 12  |  3  4  | 11  2  | 13 14  | 10  5  |  7  6  |  8 18  | 15  1  |
| 16 11  | 15 18  | 14  8  |  5 17  | 10  2  |  7  6  |  4  1  |  3  9  | 13 12  |
|  1  2  |  4 10  | 17  9  | 12  6  | 16  3  | 18 13  |  5 14  | 15  7  |  8 11  |
|  5  7  |  9  3  |  2 13  | 10  4  |  6  1  |  8 12  | 18 15  | 11 14  | 16 17  |
| 10 18  | 14 11  |  1 16  |  9  3  |  7 12  |  4 15  |  8 17  |  5 13  |  2  6  |
|  3  8  |  5  7  | 11 12  | 14 15  |  9 17  |  1  2  | 13 10  | 16  6  |  4 18  |
| 12 15  |  8  1  |  7  6  | 13 18  | 11  4  | 16 14  |  2  3  | 10 17  |  9  5  |
|  6 14  | 13 17  | 18  5  | 16  1  |  8 15  |  3 11  |  9 12  |  4  2  | 10  7  |
|  4 13  |  6  2  | 10 15  |  7  8  |  5 18  |  9 17  | 16 11  |  1 12  |  3 14  |
----------------------------------------------------------------------------------------------------
