----------------------------------------------------------------------------------------------------
|  6 17  | 10 18  |  2  7  | 15  4  | 12  8  |  5  1  | 16 13  |  9 14  | 11  3  |
|  7  1  | 16 11  | 18 15  | 13  8  |  9  4  | 10 14  |  5  6  |  2  3  | 12 17  |
|  8 14  |  2  3  |  9  4  |  6 18  | 15  7  | 16 12  |  1 17  | 10 11  |  5 13  |
|  3 16  | 17  4  |  8  6  |  9 11  | 18 13  | 15  7  | 14 10  | 12  5  |  2  1  |
| 15 13  |  8  7  | 17 14  |  2  3  | 16  5  |  6  9  | 12 11  |  1  4  | 18 10  |
|  2  5  | 15  1  | 10  3  | 14 12  |  6 11  | 13  4  |  9  7  | 18 17  |  8 16  |
| 10  9  | 13  5  |  1 12  | 17  7  | 14  3  | 11 18  |  4  2  |  8 16  | 15  6  |
| 12 11  | 14  9  | 16  5  |  1 10  |  2 17  |  3  8  | 15 18  | 13  6  |  4  7  |
|  4 18  | 12  6  | 11 13  | 16  5  | 10  1  |  2 17  |  3  8  | 15  7  | 14  9  |
----------------------------------------------------------------------------------------------------
| 18  3  |  1 16  |  4  9  |  7 15  | 13 14  | 12  2  |  8  5  |  6 10  | 17 11  |
| 16  2  | 18 13  |  3  1  |  4  9  |  7 15  | 17 11  |  6 12  | 14  8  | 10  5  |
|  5  7  |  3  2  | 15 16  | 10  1  | 17 12  |  9 13  | 11 14  |  4 18  |  6  8  |
| 11  6  |  5 10  | 13  8  |  3 16  |  4  9  | 14 15  |  2  1  | 17 12  |  7 18  |
| 17  8  |  6 15  | 12 11  |  5 14  |  3 18  |  4 16  | 10  9  |  7  1  | 13  2  |
| 13  4  | 11  8  |  6 18  | 12  2  |  1 16  |  7 10  | 17 15  |  5  9  |  3 14  |
| 14 12  |  7 17  |  5  2  | 11 13  |  8 10  |  1  6  | 18 16  |  3 15  |  9  4  |
|  9 15  |  4 14  |  7 10  |  8 17  | 11  6  | 18  5  | 13  3  | 16  2  |  1 12  |
|  1 10  |  9 12  | 14 17  | 18  6  |  5  2  |  8  3  |  7  4  | 11 13  | 16 15  |
----------------------------------------------------------------------------------------------------
