----------------------------------------------------------------------------------------------------
| 17  9  | 11 16  | 18  3  |  1 12  |  6  8  |  7  4  |  5 14  | 10  2  | 13 15  |
|  3  8  | 17  2  |  5 10  | 18  9  |  4 12  | 14  1  | 13  7  |  6 15  | 11 16  |
| 13  5  |  3 18  | 16 12  | 15 10  |  9 17  |  6  8  |  4  1  |  7 11  |  2 14  |
| 11 18  |  8  4  | 17 15  |  7  6  | 16 10  |  9 12  |  2  3  | 14 13  |  1  5  |
|  1 14  |  5  6  |  7 13  |  3 17  | 18 15  | 16  2  | 12 11  |  9  8  |  4 10  |
| 12  4  | 14  1  | 11  2  |  5  8  |  3 13  | 18 15  |  6 10  | 16 17  |  7  9  |
| 16 15  |  9 12  | 14  1  |  2 11  |  5  7  | 10 13  | 18  8  |  4  3  |  6 17  |
| 10  6  |  7 13  |  8  4  | 14 16  |  2  1  | 11 17  | 15  9  | 18  5  |  3 12  |
|  2  7  | 15 10  |  9  6  | 13  4  | 11 14  |  5  3  | 16 17  | 12  1  | 18  8  |
----------------------------------------------------------------------------------------------------
| 18 16  |  2 14  | 15  7  |  9  3  | 12  5  |  8  6  | 17 13  | 11  4  | 10  1  |
| 15 12  |  1  7  | 10 17  |  4  2  | 14  9  | 13  5  |  8  6  |  3 18  | 16 11  |
|  8  1  | 16 11  |  2 18  | 12 15  | 17  6  |  4 10  |  9  5  | 13  7  | 14  3  |
|  4 13  | 18  5  |  1 16  |  8  7  | 15  2  |  3 11  | 10 12  | 17 14  |  9  6  |
|  7 11  |  6  9  |  4  5  | 16 18  | 10  3  | 15 14  |  1  2  |  8 12  | 17 13  |
|  5  3  |  4 15  | 12  9  | 10 14  | 13 11  | 17 16  |  7 18  |  1  6  |  8  2  |
|  6  2  | 10  8  |  3 11  | 17 13  |  7  4  |  1  9  | 14 15  |  5 16  | 12 18  |
|  9 17  | 12  3  | 13 14  |  6  1  |  8 16  |  2 18  | 11  4  | 15 10  |  5  7  |
| 14 10  | 13 17  |  6  8  | 11  5  |  1 18  | 12  7  |  3 16  |  2  9  | 15  4  |
----------------------------------------------------------------------------------------------------
