----------------------------------------------------------------------------------------------------
|  5 16  | 10  6  | 14 18  |  3 12  | 15  8  |  4  1  |  7 17  |  2 11  | 13  9  |
|  1 15  |  7  2  | 17 10  |  6  8  | 11 18  | 13 16  | 14  5  |  3  9  | 12  4  |
|  7 11  |  1  9  |  2  4  | 16  5  | 13  6  | 12 10  |  8 18  | 17 15  |  3 14  |
| 14 17  | 11  5  | 13  1  |  9 15  | 12  4  |  8 18  | 10  3  |  7  6  | 16  2  |
|  9 10  |  8 18  |  7 12  | 17  4  |  5  1  | 11  3  |  2 13  | 14 16  |  6 15  |
|  3 18  | 14 16  |  5  9  |  1 10  |  2 17  | 15  6  | 12  4  |  8 13  |  7 11  |
| 12  6  |  3  4  | 16  8  | 13  7  | 10  9  | 14  2  | 11 15  | 18  1  |  5 17  |
|  4 13  | 15 12  |  6  3  |  2 11  | 16 14  | 17  7  |  1  9  | 10  5  |  8 18  |
|  2  8  | 17 13  | 15 11  | 18 14  |  7  3  |  9  5  |  6 16  | 12  4  | 10  1  |
----------------------------------------------------------------------------------------------------
| 10  3  |  6  8  | 12 13  | 14 16  |  9  5  |  2 17  |  4 11  | 15 18  |  1  7  |
| 11  4  | 16 15  |  8 14  |  7  1  | 18 12  |  3  9  | 13  2  |  5 10  | 17  6  |
| 13 12  |  9 11  |  1 16  |  5 17  |  4 10  | 18  8  | 15  7  |  6  2  | 14  3  |
| 16  9  | 12  1  | 18 15  |  8  2  | 14  7  |  5  4  |  3  6  | 13 17  | 11 10  |
|  6  7  | 18 14  |  4  2  | 10 13  | 17 11  |  1 12  |  9  8  | 16  3  | 15  5  |
| 15  5  |  4 17  |  9  7  | 12 18  |  3 13  |  6 11  | 16 10  |  1 14  |  2  8  |
| 17 14  |  5  3  | 10  6  | 15  9  |  1  2  |  7 13  | 18 12  | 11  8  |  4 16  |
| 18  2  | 13 10  |  3  5  | 11  6  |  8 15  | 16 14  | 17  1  |  4  7  |  9 12  |
|  8  1  |  2  7  | 11 17  |  4  3  |  6 16  | 10 15  |  5 14  |  9 12  | 18 13  |
----------------------------------------------------------------------------------------------------
