----------------------------------------------------------------------------------------------------
| 17  3  | 18 14  |  2 12  | 16 15  |  1  8  |  4  6  | 10  9  |  7  5  | 11 13  |
| 16  9  |  3 12  |  1  4  | 11  6  | 17 14  |  5 10  | 15  7  |  8 13  | 18  2  |
|  1 14  | 16 13  |  5 15  |  9  7  | 11  6  |  3 17  |  4 18  |  2 10  |  8 12  |
| 12 10  | 17  4  |  3  6  |  1  2  | 16  5  | 18 11  | 13  8  | 15  9  |  7 14  |
|  8 11  |  1  6  | 14 10  |  3  4  | 13 15  | 16  7  |  5  2  | 18 12  |  9 17  |
|  5  7  | 15  9  | 17 13  | 14 10  |  3 18  |  8  2  |  6 12  |  4 11  |  1 16  |
|  4  6  | 10  7  |  9  8  | 17 18  |  2 12  | 14 13  | 11  3  | 16  1  |  5 15  |
| 15 18  |  5  2  |  7 11  |  8 13  |  9 10  |  1 12  | 17 16  |  6 14  |  4  3  |
|  2 13  |  8 11  | 18 16  |  5 12  |  7  4  | 15  9  | 14  1  |  3 17  |  6 10  |
----------------------------------------------------------------------------------------------------
|  7  2  |  9  5  | 10  1  | 15 16  |  6 11  | 17  3  | 12  4  | 14  8  | 13 18  |
| 14 12  |  2  3  | 15  5  |  7  1  |  4 13  |  9  8  | 18  6  | 10 16  | 17 11  |
| 13  5  | 11 10  |  4  9  | 18  3  | 15 16  |  7  1  |  2 17  | 12  6  | 14  8  |
| 18 17  |  6  1  |  8 14  |  2 11  |  5  9  | 12  4  | 16 10  | 13  3  | 15  7  |
|  9  1  |  7 17  | 11  3  | 10 14  | 12  2  | 13 18  |  8 15  |  5  4  | 16  6  |
| 11  4  | 12  8  | 13 17  |  6  9  | 18  3  |  2 16  |  7 14  |  1 15  | 10  5  |
| 10  8  | 13 18  | 16  2  | 12 17  | 14  1  |  6 15  |  9  5  | 11  7  |  3  4  |
|  6 16  |  4 15  | 12  7  | 13  5  |  8 17  | 10 14  |  3 11  |  9 18  |  2  1  |
|  3 15  | 14 16  |  6 18  |  4  8  | 10  7  | 11  5  |  1 13  | 17  2  | 12  9  |
----------------------------------------------------------------------------------------------------
