----------------------------------------------------------------------------------------------------
|  5  4  | 13 11  | 16  2  |  1  9  |  3  6  | 15 14  | 17 10  |  7 12  | 18  8  |
| 10  1  |  5  3  | 17  7  | 13  4  | 12  2  | 11 18  | 14  9  | 16  8  |  6 15  |
| 13 15  |  8  2  | 11  5  | 16  7  |  4 10  | 12  1  |  3 18  | 17  6  |  9 14  |
| 14  3  |  4 15  | 10  9  | 18 11  |  5 16  |  8  2  | 12  6  | 13  1  | 17  7  |
|  9  7  | 14  1  | 15 13  |  5  3  | 11  8  |  6 17  |  2 16  | 18  4  | 12 10  |
|  2  6  | 12 18  | 14  1  | 10 15  |  7 17  | 16  3  |  8  4  | 11  9  | 13  5  |
| 18 17  |  7 16  |  3 12  |  6  8  |  9 14  |  4 10  | 11 13  |  5 15  |  2  1  |
| 16  8  |  9 10  |  4  6  | 17 12  | 18 15  |  5 13  |  1  7  |  2 14  | 11  3  |
| 12 11  |  6 17  |  8 18  | 14  2  |  1 13  |  9  7  |  5 15  | 10  3  | 16  4  |
----------------------------------------------------------------------------------------------------
|  6 16  |  3  5  |  1 11  |  2 13  | 15  7  | 10  4  |  9 14  | 12 17  |  8 18  |
|  7  5  | 16  8  | 18  3  | 11 17  | 13 12  | 14  6  | 10  1  |  4  2  | 15  9  |
| 11  2  | 17 14  |  5  8  |  4 16  |  6  1  |  7 15  | 18  3  |  9 13  | 10 12  |
|  8  9  | 10 13  |  2 16  | 15  1  | 17 11  |  3 12  |  4  5  | 14 18  |  7  6  |
|  1 12  |  2  6  |  7 17  |  8 14  | 16  4  | 18  9  | 15 11  |  3 10  |  5 13  |
| 15 10  |  1 12  |  6  4  |  7 18  | 14  9  | 17 11  | 13  2  |  8  5  |  3 16  |
|  3 14  | 15  9  | 13 10  | 12  6  |  8 18  |  2  5  |  7 17  |  1 16  |  4 11  |
|  4 13  | 18  7  |  9 15  |  3 10  |  2  5  |  1  8  | 16 12  |  6 11  | 14 17  |
| 17 18  | 11  4  | 12 14  |  9  5  | 10  3  | 13 16  |  6  8  | 15  7  |  1  2  |
----------------------------------------------------------------------------------------------------
