----------------------------------------------------------------------------------------------------
| 10  6  |  8 18  |  2 11  |  4  9  |  5  1  | 17  7  | 13 16  | 15  3  | 14 12  |
| 16  7  | 14 11  | 17 15  | 18  2  |  4 13  |  5  3  |  9  8  |  1 12  |  6 10  |
|  5  2  |  7 15  |  8 14  |  6 17  | 11  3  | 12  4  | 10  1  | 13 16  |  9 18  |
| 13  9  | 16  6  |  5 18  | 15 12  |  2 17  | 14  1  |  4  7  | 11 10  |  3  8  |
|  3 17  |  1  9  |  6  4  | 11 14  |  7 15  | 16 10  | 12 18  |  8  5  | 13  2  |
|  1 11  |  5 10  |  9  3  | 16 13  | 18 12  | 15  8  | 17 14  |  6  2  |  4  7  |
|  8 18  | 17 13  | 10 12  |  5  7  | 16 14  | 11  2  |  6  3  |  4  9  |  1 15  |
| 14 12  |  3  4  |  7 16  |  8  1  |  6 10  | 13  9  | 15  2  | 17 18  | 11  5  |
| 15  4  |  2 12  |  1 13  | 10  3  |  8  9  |  6 18  |  5 11  |  7 14  | 16 17  |
----------------------------------------------------------------------------------------------------
|  2 15  |  6  1  |  3  5  | 17  4  | 10 16  |  7 14  | 11 13  | 12  8  | 18  9  |
|  9 13  | 12 17  | 11 10  |  7 15  |  1 18  |  4 16  |  8  5  | 14  6  |  2  3  |
| 17 16  | 18  3  | 14  9  |  2  5  | 13  7  |  8 11  |  1  4  | 10 15  | 12  6  |
| 18 14  | 13  5  | 16  6  |  3  8  | 17 11  |  1 12  |  2 15  |  9  7  | 10  4  |
|  7  3  |  9  2  | 12  1  | 14  6  | 15  5  | 10 13  | 16 17  | 18  4  |  8 11  |
| 12 10  | 15 16  | 18  8  |  1 11  | 14  4  |  2  6  |  7  9  |  3 17  |  5 13  |
|  4  1  | 10  8  | 13 17  | 12 16  |  9  2  |  3 15  | 18  6  |  5 11  |  7 14  |
| 11  8  |  4  7  | 15  2  |  9 10  |  3  6  | 18  5  | 14 12  | 16 13  | 17  1  |
|  6  5  | 11 14  |  4  7  | 13 18  | 12  8  |  9 17  |  3 10  |  2  1  | 15 16  |
----------------------------------------------------------------------------------------------------
