----------------------------------------------------------------------------------------------------
|  7 15  | 14 10  | 16  2  |  3  1  |  9 11  | 12  4  | 13 18  | 17  5  |  6  8  |
| 17  2  | 15  7  | 18  8  | 16  4  |  6  3  |  9  5  |  1 11  | 13 14  | 12 10  |
| 16 18  | 12  2  | 15  7  | 14  9  |  5 17  |  3 10  |  8  4  | 11  6  | 13  1  |
|  9  6  | 18 11  | 12 17  | 15 10  |  4 13  |  2  8  |  3  5  |  7  1  | 14 16  |
| 13 10  |  6 16  | 11  1  | 12 17  | 15  8  | 14  7  |  9  2  |  3 18  |  5  4  |
| 14  5  | 17  9  | 13  3  |  7  2  | 10 18  |  1  6  | 12 16  |  4  8  | 15 11  |
| 12 11  |  5  3  |  9  4  |  8 18  |  1  2  | 13 15  |  6 14  | 10 16  |  7 17  |
|  1  3  |  4  8  | 14  5  |  6 13  | 12  7  | 16 11  | 10 17  |  2 15  | 18  9  |
|  4  8  |  1 13  | 10  6  | 11  5  | 14 16  | 17 18  | 15  7  | 12  9  |  2  3  |
----------------------------------------------------------------------------------------------------
| 10  4  |  2  6  |  5 18  |  1 15  |  8 12  | 11 16  | 17 13  |  9  7  |  3 14  |
| 11 13  |  7  4  |  1 14  | 10 12  | 18 15  |  5  3  | 16  9  |  8  2  | 17  6  |
|  6 16  | 13 17  |  3 10  |  9 14  |  2  5  | 18 12  |  7  8  |  1 11  |  4 15  |
| 18  7  |  9  5  |  6 13  |  2 11  |  3  1  | 10 14  |  4 15  | 16 17  |  8 12  |
|  2 17  |  8 18  |  4  9  | 13  6  | 16 14  | 15  1  | 11  3  |  5 12  | 10  7  |
|  8  9  | 11 15  |  2 12  |  5  7  | 17 10  |  4 13  | 14  1  |  6  3  | 16 18  |
|  5 12  |  3 14  |  7 16  | 17  8  | 11  9  |  6  2  | 18 10  | 15  4  |  1 13  |
| 15  1  | 16 12  |  8 11  | 18  3  | 13  4  |  7 17  |  5  6  | 14 10  |  9  2  |
|  3 14  | 10  1  | 17 15  |  4 16  |  7  6  |  8  9  |  2 12  | 18 13  | 11  5  |
----------------------------------------------------------------------------------------------------
