----------------------------------------------------------------------------------------------------
| 12 11  |  6  5  | 13  8  | 15 16  |  4 17  | 14 10  |  2  9  |  3  7  | 18  1  |
| 14 15  | 17  4  |  7 10  | 13  6  | 11  2  |  9 12  |  5  3  |  1 18  |  8 16  |
| 17  4  | 15 11  |  3 12  |  2  5  | 18 16  |  1 13  | 14 10  |  8  9  |  7  6  |
|  3  2  |  8 16  |  4 15  |  9 10  | 13  6  | 18  5  |  7  1  | 14 12  | 17 11  |
|  7 18  | 12 14  | 17  6  |  4  8  | 10  1  |  3  2  | 13 16  |  5 11  | 15  9  |
|  1  9  | 18 13  | 11 14  | 12  3  |  8  5  | 16  7  | 15  4  | 17  6  |  2 10  |
| 16  8  |  7  9  | 18  2  | 14  1  | 15  3  |  4 17  |  6 11  | 13 10  |  5 12  |
| 13  6  |  3 10  |  5  1  | 18 17  |  7  9  | 15 11  | 12  8  | 16  2  | 14  4  |
| 10  5  |  2  1  |  9 16  |  7 11  | 12 14  |  6  8  | 18 17  | 15  4  | 13  3  |
----------------------------------------------------------------------------------------------------
| 15  1  |  4 12  |  6  7  | 17 18  |  9 11  |  5 16  |  8 13  |  2  3  | 10 14  |
|  5 17  | 16 18  | 12  3  |  1 13  | 14  8  | 11  9  | 10  2  |  6 15  |  4  7  |
|  2 12  | 13 17  | 16 11  |  6  9  |  3 18  | 10 14  |  4  5  |  7  8  |  1 15  |
|  9  7  |  5  6  | 15 17  | 10 14  | 16  4  |  2 18  |  1 12  | 11 13  |  3  8  |
|  8 14  |  9  2  |  1 18  |  3  7  | 17 15  | 13  4  | 11  6  | 10 16  | 12  5  |
|  6 10  | 14  7  |  2  9  |  5  4  |  1 12  |  8  3  | 16 15  | 18 17  | 11 13  |
| 11 16  |  1 15  | 10  5  |  8 12  |  2 13  | 17  6  |  3  7  |  4 14  |  9 18  |
| 18 13  | 11  3  |  8  4  | 16  2  |  5 10  |  7 15  |  9 14  | 12  1  |  6 17  |
|  4  3  | 10  8  | 14 13  | 11 15  |  6  7  | 12  1  | 17 18  |  9  5  | 16  2  |
----------------------------------------------------------------------------------------------------
