----------------------------------------------------------------------------------------------------
| 14 16  |  9 10  | 15 17  | 11  1  |  3  7  |  6 13  |  4 12  | 18  5  |  8  2  |
|  7  8  |  2  4  |  9 14  | 18 16  | 11 13  | 17 10  | 15  5  | 12  1  |  6  3  |
|  2 18  |  7 15  |  4 10  |  5  3  |  6  1  | 14  8  | 16 13  | 11  9  | 12 17  |
|  4 11  | 18 13  |  7 12  | 14 10  |  8 17  |  3  9  |  2  1  | 15  6  |  5 16  |
|  3 13  |  8 14  |  5 18  |  4  7  | 12  2  | 11  1  | 17  6  | 10 16  | 15  9  |
| 15 12  |  3 17  |  2  1  | 13  6  | 16  9  |  5  7  | 11 10  | 14  8  | 18  4  |
| 17  5  | 12 11  | 13  6  |  8  9  | 10 14  | 15 16  |  3 18  |  2  4  |  1  7  |
|  6  9  |  5  1  | 11 16  | 17  2  | 18 15  | 12  4  | 14  8  |  3  7  | 10 13  |
|  1 10  | 16  6  |  3  8  | 12 15  |  4  5  | 18  2  |  7  9  | 17 13  | 11 14  |
----------------------------------------------------------------------------------------------------
| 16  1  |  6 12  | 18  5  |  3 17  |  7 11  | 13 15  |  8  4  |  9  2  | 14 10  |
| 11  4  |  1  7  | 17  9  | 16 18  |  5  8  | 10  6  | 12 14  | 13  3  |  2 15  |
|  8  2  | 13  9  |  6  7  | 15 14  | 17 18  | 16  5  | 10 11  |  4 12  |  3  1  |
| 10 14  | 17  8  | 12 13  |  9  5  | 15  3  |  4 18  |  1  2  | 16 11  |  7  6  |
| 18 15  | 14  5  |  1 11  |  6  4  |  9 10  |  2 12  | 13  3  |  7 17  | 16  8  |
|  5  7  | 10 16  |  8 15  |  1 12  |  2  4  |  9  3  | 18 17  |  6 14  | 13 11  |
| 12  3  | 15  2  | 10  4  |  7 11  | 13  6  |  1 14  |  9 16  |  8 18  | 17  5  |
|  9  6  | 11  3  | 16  2  | 10 13  | 14 12  |  8 17  |  5  7  |  1 15  |  4 18  |
| 13 17  |  4 18  | 14  3  |  2  8  |  1 16  |  7 11  |  6 15  |  5 10  |  9 12  |
----------------------------------------------------------------------------------------------------
