----------------------------------------------------------------------------------------------------
|  4 14  |  5 10  |  8  9  | 17  6  | 11  7  | 13 16  |  1 12  |  2  3  | 18 15  |
|  1  9  | 14 18  |  5  6  |  3  4  | 17 10  | 15 11  |  2 16  | 12  8  | 13  7  |
| 15 17  |  6  2  |  1 14  | 16 13  |  3  8  | 10  7  | 11  5  |  9 18  | 12  4  |
|  8  2  | 12 17  | 15 13  | 11 18  |  5  9  | 14  4  |  7  3  | 16  1  | 10  6  |
| 12  7  |  3  9  | 18 17  | 14  8  | 15  4  |  5  1  | 10 13  | 11  6  |  2 16  |
| 10 11  |  8  7  | 12  3  |  9 15  |  6 16  | 18  2  |  4 14  |  5 13  |  1 17  |
| 18  6  | 13 16  |  7 11  | 12  1  | 14  2  |  9 17  | 15  8  |  4 10  |  5  3  |
| 13 16  |  4 15  |  2 10  |  7  5  |  1 18  |  3 12  |  9  6  | 14 17  | 11  8  |
|  3  5  | 11  1  |  4 16  |  2 10  | 13 12  |  6  8  | 18 17  |  7 15  |  9 14  |
----------------------------------------------------------------------------------------------------
| 14  8  | 10 12  | 13  7  |  4  2  | 18 15  |  1  5  |  6  9  | 17 16  |  3 11  |
|  7  3  |  9 14  | 16  1  |  8 12  |  2 13  | 17 10  |  5 11  |  6  4  | 15 18  |
|  2  1  | 16  3  |  9 15  | 10 11  |  4  6  | 12 14  | 13 18  |  8  7  | 17  5  |
|  6 13  |  1  4  | 17 12  | 15  7  |  8  5  |  2 18  | 14 10  |  3 11  | 16  9  |
| 11 18  | 17 13  |  6  5  |  1  9  | 16  3  |  4 15  | 12  7  | 10 14  |  8  2  |
|  5  4  | 18  8  | 14  2  | 13 17  |  7 11  | 16  9  |  3 15  |  1 12  |  6 10  |
|  9 15  |  7 11  |  3  4  |  6 16  | 10  1  |  8 13  | 17  2  | 18  5  | 14 12  |
| 16 12  | 15  6  | 10 18  |  5 14  |  9 17  | 11  3  |  8  4  | 13  2  |  7  1  |
| 17 10  |  2  5  | 11  8  | 18  3  | 12 14  |  7  6  | 16  1  | 15  9  |  4 13  |
----------------------------------------------------------------------------------------------------
