----------------------------------------------------------------------------------------------------
| 15 18  | 12  7  |  2  6  | 13 14  |  5 11  |  3 10  | 17  1  | 16  9  |  8  4  |
|  5  2  | 15  8  | 10 14  |  3  7  | 16 13  | 11  1  |  6  4  | 17 18  |  9 12  |
|  7 14  |  5 17  |  8  3  |  2 12  | 18  1  | 15  6  | 11  9  | 13  4  | 16 10  |
| 17  1  | 18  4  | 12 15  |  8  5  |  7  2  | 13  9  |  3 16  | 11 10  | 14  6  |
|  3 13  | 10  6  | 18  7  | 15  9  |  8 14  | 16  4  |  5 12  |  1  2  | 11 17  |
| 11  9  |  1 13  | 17  5  | 18 16  |  4 10  |  2  7  |  8 14  | 12  6  |  3 15  |
| 12  4  |  2  3  | 13 16  | 11 10  |  9  6  | 17 14  |  7 18  |  8 15  |  1  5  |
| 16 10  | 11  9  |  4  1  |  6 17  | 12  3  |  5  8  |  2 15  |  7 14  | 18 13  |
|  8  6  | 14 16  | 11  9  |  4  1  | 17 15  | 18 12  | 10 13  |  3  5  |  7  2  |
----------------------------------------------------------------------------------------------------
|  9  8  | 16 10  |  1 17  | 14 18  | 11  5  |  6 15  | 13  2  |  4  7  | 12  3  |
| 14 12  |  7 15  |  3 18  |  9  6  | 13 17  |  4  5  | 16 11  |  2  8  | 10  1  |
|  1  7  |  4 14  |  6  2  | 12 13  |  3  8  | 10 11  | 18  5  |  9 17  | 15 16  |
|  4  5  |  9  1  | 16 12  | 17  8  | 15 18  |  7  2  | 14 10  |  6  3  | 13 11  |
| 10  3  | 13 11  |  7  8  |  5  2  | 14  9  | 12 16  |  4  6  | 15  1  | 17 18  |
|  2 16  |  3 12  | 14 10  |  1 15  |  6  4  |  8 13  |  9 17  | 18 11  |  5  7  |
|  6 17  |  8  5  |  9 13  | 16 11  |  2  7  |  1 18  | 15  3  | 10 12  |  4 14  |
| 13 11  |  6 18  | 15  4  |  7  3  | 10 12  | 14 17  |  1  8  |  5 16  |  2  9  |
| 18 15  | 17  2  |  5 11  | 10  4  |  1 16  |  9  3  | 12  7  | 14 13  |  6  8  |
----------------------------------------------------------------------------------------------------
