----------------------------------------------------------------------------------------------------
|  1 17  | 14 16  | 15  4  | 10 11  | 13  9  |  5  2  |  8  6  | 12  7  |  3 18  |
|  2  4  | 17  9  |  6 10  |  8 18  |  5  1  | 15 14  |  3  7  | 11 13  | 16 12  |
| 13  6  |  8 18  | 17 14  |  9 12  | 16  3  |  1 10  |  5  2  | 15  4  | 11  7  |
| 10 11  | 13  4  |  2  1  | 15 17  | 18  7  |  3  9  | 16 12  |  6  8  |  5 14  |
|  3  8  |  7 12  | 18 13  |  4 16  | 17  2  |  6 11  |  1 14  |  5  9  | 15 10  |
| 18 16  | 10  1  | 12  9  | 13  5  | 14 11  |  7 17  | 15  4  |  3  2  |  8  6  |
|  9 12  |  2  3  |  7  5  | 14  6  | 10 15  |  4  8  | 11 13  | 18 16  |  1 17  |
|  5 15  | 11  6  | 16  3  |  1  7  |  4  8  | 18 12  | 17  9  | 14 10  |  2 13  |
|  7 14  | 15  5  | 11  8  |  2  3  |  6 12  | 13 16  | 18 10  | 17  1  |  9  4  |
----------------------------------------------------------------------------------------------------
| 12  9  | 18 11  |  5 16  |  7 13  |  8 14  |  2  4  | 10 15  |  1  6  | 17  3  |
| 17 18  |  3 14  |  1 11  | 12  2  |  9 16  | 10  6  |  4  5  |  7 15  | 13  8  |
|  8  3  |  5 15  | 14  2  | 17 10  | 12  4  | 11 13  |  6  1  |  9 18  |  7 16  |
| 16 10  |  4 17  |  3  7  |  5 15  | 11 13  |  8  1  | 12 18  |  2 14  |  6  9  |
| 14  1  | 16 10  |  9 18  |  6  8  |  2 17  | 12  5  |  7 11  | 13  3  |  4 15  |
| 11  2  |  9 13  |  8 17  | 18  4  |  7  6  | 16 15  | 14  3  | 10  5  | 12  1  |
|  4 13  | 12  2  | 10  6  |  3  1  | 15  5  | 14  7  |  9  8  | 16 17  | 18 11  |
| 15  7  |  6  8  | 13 12  | 16 14  |  1 18  |  9  3  |  2 17  |  4 11  | 10  5  |
|  6  5  |  1  7  |  4 15  | 11  9  |  3 10  | 17 18  | 13 16  |  8 12  | 14  2  |
----------------------------------------------------------------------------------------------------
