----------------------------------------------------------------------------------------------------
|  7 11  | 12  5  | 13  3  |  1  4  | 15  2  | 10  6  |  9 18  |  8 17  | 14 16  |
|  4  6  | 10 18  | 12 17  |  9  8  | 13 11  | 15  7  |  3 14  |  2 16  |  1  5  |
|  5 12  |  4 16  | 18  6  |  7 15  |  1  9  |  2 17  | 11 10  | 14 13  |  8  3  |
| 13  1  | 17 14  |  4  2  | 18  3  | 16  7  |  8  9  | 15  6  | 10  5  | 12 11  |
|  2 14  |  8  9  | 16 15  | 12 13  | 18  6  |  1  3  |  7  5  | 11  4  | 10 17  |
|  9 15  |  6 13  | 14  5  |  2 11  | 12 10  | 18 16  |  8 17  |  3  1  |  4  7  |
| 17  8  |  1  3  |  9  7  |  5 10  |  4 14  | 13 11  |  2 16  | 18 12  |  6 15  |
| 16 10  | 15 11  |  8  1  | 17  6  |  5  3  |  4 14  | 12 13  |  9  7  |  2 18  |
|  3 18  |  2  7  | 11 10  | 14 16  | 17  8  |  5 12  |  4  1  | 15  6  | 13  9  |
----------------------------------------------------------------------------------------------------
| 14  7  | 16  6  |  3  4  | 10  2  |  9 17  | 12  5  | 18 11  | 13  8  | 15  1  |
|  1 13  | 11 15  |  6  9  |  3 18  |  2  5  | 17  4  | 10 12  |  7 14  | 16  8  |
| 12  2  |  7  8  |  5 14  | 13  9  |  3 15  |  6  1  | 16  4  | 17 18  | 11 10  |
|  8  4  | 13 10  |  7 18  | 16 14  |  6 12  |  3 15  | 17  9  |  1 11  |  5  2  |
| 10 17  | 14  1  |  2 13  | 15  5  | 11 16  |  9 18  |  6  8  |  4  3  |  7 12  |
| 15  9  |  3 12  |  1  8  |  6  7  | 14 18  | 11 13  |  5  2  | 16 10  | 17  4  |
| 11  3  | 18 17  | 10 12  |  4  1  |  7 13  | 16  8  | 14 15  |  5  2  |  9  6  |
| 18  5  |  9  2  | 17 16  | 11 12  |  8  4  | 14 10  |  1  7  |  6 15  |  3 13  |
|  6 16  |  5  4  | 15 11  |  8 17  | 10  1  |  7  2  | 13  3  | 12  9  | 18 14  |
----------------------------------------------------------------------------------------------------
